职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
数据分析师,广东泰迪智能科技股份有限公司,8-15万/年,广州·黄埔区,2年,本科,民营,150-500人,教育/培训/院校,https://jobs.51job.com/guangzhou/144648220.html?s=sou_sou_soulb&t=0_0&req=0403c241a061dc56d057f5add65f137f,https://jobs.51job.com/all/coA2FcOANoBjoEaFEzVzc.html
物流数据分析助理+双休/包住,广州市和鑫科技有限公司,8千-1万,广州·白云区,无需经验,本科,民营,50-150人,计算机软件,https://jobs.51job.com/guangzhou/134055604.html?s=sou_sou_soulb&t=0_0&req=0403c241a061dc56d057f5add65f137f,https://jobs.51job.com/all/coVTVVNQdjDjIPagRhVjQ.html
商品数据分析,广东鸿大服饰有限公司,5-6.5千,广州·白云区,2年,大专,民营,150-500人,批发/零售,https://jobs.51job.com/guangzhou/141232874.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coB2ddMQRvAD5TMAxrUDw.html
数据分析师助理,贵州省创敢科技有限责任公司,7.5-9千,深圳·福田区,无需经验,大专,民营,少于50人,,https://jobs.51job.com/shenzhen/146984598.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coCGlcOlUwBjEEYQVvBmE.html
商品数据分析专员,东莞市金龙珠宝首饰有限公司,8千-1万·13薪,东莞·厚街镇,3-4年,大专,民营,500-1000人,奢侈品/收藏品/工艺品/珠宝,https://jobs.51job.com/shenzhen/145507937.html?s=sou_sou_soulb&t=0_1&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coA2dRMFc3DjNVMlYxBmc.html
财务数据分析专员,立邦投资有限公司,1-1.5万·14薪,上海,2年,本科,外资（非欧美）,5000-10000人,石油/化工/矿产/地质,https://jobs.51job.com/shanghai/148654868.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coA2dXNVMxBTMHYVQ3XTw.html
温室气体数据分析师,广东旭诚科技有限公司,8千-1.1万,广州·海珠区,无需经验,硕士,民营,150-500人,环保,https://jobs.51job.com/beijing/148643967.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coBGEHZFQ_BTgDYlc8UDQ.html
产品数据分析（珠宝）,深圳有品克拉首饰管理有限公司,8千-1.2万,深圳·罗湖区,3-4年,大专,民营,500-1000人,奢侈品/收藏品/工艺品/珠宝,https://jobs.51job.com/shenzhen/148616877.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coAWBdOlI4BTxTNwFrVzY.html
数据分析师-生活服务（商家平台方向）,字节跳动,2-4万,上海,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shanghai/137616612.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
美团外卖-数据分析师,美团,1.5-3万,北京·朝阳区,3-4年,,已上市,10000人以上,,https://jobs.51job.com/beijing/148614578.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coBWcGZl49Az1WNlAxBmU.html
销售企划/销售数据分析担当（韩语）,锦湖（中国）轮胎销售有限公司,7千-1.4万,上海·闵行区,1年,本科,外资（非欧美）,150-500人,汽车,https://jobs.51job.com/shanghai/137778251.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coAWZcO18-AjQHawdmBWE.html
数据分析师,深圳市捷佳伟创新能源装备股份有限公司,1.5-1.8万,深圳·坪山区,2年,本科,已上市,1000-5000人,机械/设备/重工,https://jobs.51job.com/shenzhen/148631910.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coUjYCYQdkBjxWMlQ0VDI.html
数据分析师,“前程无忧”51job.com（上海）,1.5-2万,上海·浦东新区,2年,本科,外资（非欧美）,1000-5000人,专业服务(咨询、人力资源、财会),https://51rz.51job.com/job.html?jobid=145800771,https://51rz.51job.com/job.html?jobid=71752221&coid=1249
数据分析建模岗,吉致汽车金融有限公司,,上海,2年,本科,合资,150-500人,银行,https://jobs.51job.com/shanghai/147454397.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coAWRTMV89BDkCZwNhVTA.html
销售数据分析专家,美团,2-3万,上海·杨浦区,3-4年,,已上市,10000人以上,,https://jobs.51job.com/shanghai/148616196.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coBWcGZl49Az1WNlAxBmU.html
数据分析师（建模方向）,陆金申华融资租赁（上海）有限公司,1.5-3万,上海·浦东新区,2年,本科,合资,50-150人,金融/投资/证券,https://jobs.51job.com/shanghai/146578166.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coCG1cP1YzBj4CYgNiUTA.html
游戏运营-数据分析师,上海成蹊信息科技有限公司,1-2万,上海·徐汇区,2年,本科,民营,150-500人,互联网/电子商务,https://jobs.51job.com/shanghai/115385053.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coBGECZF81BzgAZgJlAWY.html
国际电商 - 数据分析师,字节跳动,3-6万,北京,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/135880197.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
500强-项目数据分析,上海共添市场营销服务股份有限公司,6-8千,上海·黄浦区,3-4年,大专,民营,500-1000人,快速消费品(食品、饮料、化妆品),https://jobs.51job.com/shanghai/138876556.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coVjFTNlYyUmkAYwBlVzs.html
总公司数据分析岗 (009136),华泰财产保险有限公司,1.5-2.5万,北京,3-4年,硕士,外资（欧美）,500-1000人,保险,https://jobs.51job.com/beijing/146627224.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coAmYCYVU_VGhWOlczUz8.html
数据分析专员or实习生,广州茉初传媒有限公司,6-8千,广州·海珠区,1年,本科,民营,50-150人,奢侈品/收藏品/工艺品/珠宝,https://jobs.51job.com/guangzhou/146954168.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coUzJWNFMwBjxVMlQ-VDQ.html
数据分析师（亚马逊补货）,广州芒果尚品网络科技有限公司,7千-1.2万,广州·白云区,2年,本科,民营,50-150人,服装/纺织/皮革,https://jobs.51job.com/guangzhou/148357346.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coBmZWNlc2DzZWMFc3Ujc.html
初级数据分析师,辰诺（上海）国际贸易有限公司,9千-1.5万,上海,2年,硕士,民营,50-150人,贸易/进出口,https://jobs.51job.com/shanghai/147509958.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coCGgHZAVvUm8OawRhVjQ.html
数据分析工程师,四川久环环境技术有限责任公司,4-6千,成都·金堂县,1年,本科,民营,50-150人,仪器仪表/工业自动化,https://jobs.51job.com/chengdu/148646860.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coBmJdMABgATcOaQFqXDw.html
游戏运营-数据分析师,上海成蹊信息科技有限公司,1-2万,上海·徐汇区,2年,本科,民营,150-500人,互联网/电子商务,https://jobs.51job.com/shanghai/144462918.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coBGECZF81BzgAZgJlAWY.html
数据分析专员,北京方圣时尚有限公司,6-7千,北京·东城区,无需经验,本科,民营,500-1000人,服装/纺织/皮革,https://jobs.51job.com/beijing/145748379.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coBWVUMVIzU24GZgVnVDA.html
互联网呼叫中心数据分析岗,中国人民健康保险股份有限公司深圳分公司,8千-1.5万,深圳·罗湖区,2年,本科,国企,150-500人,互联网/电子商务,https://jobs.51job.com/shenzhen/148602630.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coVTJcOFM3DjgHZlE3BWI.html
教导/教务处（数据分析师）,上海星慧源科技有限公司,7.5-8千,上海,1年,本科,合资,少于50人,计算机软件,https://jobs.51job.com/shanghai/143618165.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coBWFVOQNhBTtSMwdtAmE.html
大数据分析,光谷动力（北京）科技有限公司,8千-1.2万,北京·海淀区,2年,大专,民营,,计算机软件,https://jobs.51job.com/beijing/148361830.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coAWBTP1Q3DzkGY1EwUTI.html
资源管理-数据分析方向,字节跳动,1.5-3.5万,北京,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/131663738.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
数据分析助理（月薪12K起+双休）,广州丰荣发展有限公司,9千-1.8万·14薪,广州·越秀区,1年,本科,民营,,计算机软件,https://jobs.51job.com/guangzhou/142709453.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coVTQAZ1EwBDxWN1E0VjA.html
模型数据分析师,安客诚信息服务（上海）有限公司,1.5-2万,上海·徐汇区,3-4年,本科,外资（欧美）,150-500人,计算机软件,https://jobs.51job.com/shanghai/128862781.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coVTFRNlI3UWtVNQFkBWc.html
数据分析师,瑞泰人寿保险有限公司,1-1.5万,北京·海淀区,5-7年,本科,合资,500-1000人,保险,https://jobs.51job.com/beijing/147071239.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coAGRQN1I5ADYFZlA6UTY.html
数据分析工程师,字节跳动,1.5-3万,上海,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shanghai/130711322.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
商品数据分析师(J10180),新宇集团,1-1.5万,上海·长宁区,3-4年,本科,合资,5000-10000人,奢侈品/收藏品/工艺品/珠宝,https://jobs.51job.com/shanghai/141080694.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coCW5RMgNnBjlTMwZg.html
数据分析师,广州灵思互联网科技股份有限公司,8千-1万,广州·天河区,3-4年,大专,民营,少于50人,电子技术/半导体/集成电路,https://jobs.51job.com/guangzhou/148640105.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coAWBTN1Q_Bz4BYAJhB2Q.html
数据分析专员,深圳诚至金开科技有限公司,7千-1万,深圳·罗湖区,1年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/shenzhen/148574865.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coVDcCYFY8VGgGYVYzAWE.html
高级数据分析师Sr. Data Analyst,安客诚信息服务（上海）有限公司,1.5-2万,上海·徐汇区,3-4年,本科,外资（欧美）,150-500人,计算机软件,https://jobs.51job.com/shanghai/109058606.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coVTFRNlI3UWtVNQFkBWc.html
数据分析师,点奇互联（北京）科技有限公司,8千-1.5万,北京·海淀区,1年,大专,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/shijiazhuang/140870176.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coUTBSNFI0AjxUMFA7AmA.html
抖音高级数据分析师 - 用户增长方向,字节跳动,3.5-5万,北京,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/147166074.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
数据分析师,上海菁淇信息科技有限公司,1-1.5万,上海·长宁区,2年,本科,合资,50-150人,计算机软件,https://jobs.51job.com/shanghai/132398875.html?s=sou_sou_soulb&t=0_0&req=a96084c285971b46d39385a3cedd9396,https://jobs.51job.com/all/coVjZSNANkAz5TNgZnUzY.html
