,职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,省份,城市
4975,数据分析主管（集团）,1.5万-2万,福州-台江区,3-5年,本科,['相关分析'],福州朴朴电子商务有限公司,民营 ,10000人以上 ,福建,福州
4976,数据分析师,8千-1.2万,福州-仓山区,1-3年,大专,['描述统计'],福建兜有网络科技有限公司, ,,福建,福州
4977,数据分析工程师,6千-9千,福州-鼓楼区,不限,大专,"['Python', 'Pandas', 'excel']",福州优网信息技术有限公司,合资 ,100-299人 ,福建,福州
4978,数据分析岗,6千-1万,福州,1-3年,本科,"['数据分析', 'SQL', '数据挖掘']",中国平安财产保险股份有限公司福建分公司,股份制企业 ,1000-9999人 ,福建,福州
4979,数据分析师,6千-8千,福州-马尾区,1-3年,本科,"['Python', 'SQL', 'Scala']",福建中皓通信息技术有限公司,民营 ,20-99人 ,福建,福州
4980,商业数据分析,8千-1.2万,福州-台江区,不限,大专,"['SQL', 'R语言']",深圳市荣科欣尚信息科技有限公司,其它 ,20-99人 ,福建,福州
4981,数据分析师,8千-1.1万,福州-鼓楼区,1-3年,大专,['数据分析'],福州奇拓电子有限公司,民营 ,20人以下 ,福建,福州
4982,数据分析师,5千-1万,福州-鼓楼区,不限,本科,"['数据分析', 'SPSS', '数据建模', '需求分析', 'R语言', '大数据分析', '回归分析', '商业数据分析']",福州夸克市场信息研究有限公司,民营 ,20-99人 ,福建,福州
4983,数据分析师,8千-1.2万,福州-鼓楼区,1-3年,本科,"['数据分析', '数据中台', 'Oracle', 'MySQL']",福建文达森信息科技有限公司,其它 ,100-299人 ,福建,福州
4984,数据分析师,5千-6千,福州-鼓楼区,3-5年,大专,"['Python', 'SQL']",福建中皓通信息技术有限公司,民营 ,20-99人 ,福建,福州
4985,数据分析师,8千-1.2万,福州-仓山区,1-3年,学历不限,"['Excel', 'Tableau', 'SQL']",福建兜有网络科技有限公司, ,,福建,福州
4986,数据分析师,7千-1.2万,福州-晋安区,1-3年,本科,"['数据分析', '需求分析', '数据清洗', 'SQL']",佰聆数据股份有限公司北京分公司,民营 ,100-299人 ,福建,福州
4987,数据分析师,8千-1万,福州,1-3年,本科,"['数据分析', '数据中台', 'Tableau', 'SQL', 'Power BI', '市场数据分析', '销售数据分析']",福建麦田房产经纪有限公司,民营 ,10000人以上 ,福建,福州
4988,大数据分析师,7千-1万,福州-鼓楼区,不限,大专,"['SQL', 'SPSS']",深圳市铖诺贸易出口有限公司,民营 ,20人以下 ,福建,福州
4989,数据分析师,6千-1.2万,福州-鼓楼区,3-5年,本科,"['数据分析', 'SQL', 'Oracle']",戎易商智(北京)科技有限公司,民营 ,20-99人 ,福建,福州
4990,商业数据分析,7千-1万,福州-仓山区,不限,大专,"['社交类产品', '媒体类产品', '平台类产品']",福州西瓜文化传播有限公司,民营 ,100-299人 ,福建,福州
4991,数据分析师,5千-8千,福州-鼓楼区,1-3年,学历不限,"['运营数据分析', '市场数据分析', '方差分析', '决策树', 'vertica', 'Oracle Hyperion', 'Hadoop']",北京高信达通信科技股份有限公司,股份制企业 ,1000-9999人 ,福建,福州
4992,数据分析师,5千-7千,福州-台江区,1-3年,大专,"['回归分析', 'Python', '相关分析', '描述统计', 'Excel']",福建可观房地产经纪有限公司,民营 ,500-999人 ,福建,福州
4993,数据分析工程师,6千-1.2万,福州,1-3年,本科,['大数据分析'],国网信通亿力科技有限责任公司,国企 ,1000-9999人 ,福建,福州
4994,信息数据统计员,7千-1万,福州-晋安区,不限,大专,['SQL'],深圳市铖诺贸易出口有限公司,民营 ,20人以下 ,福建,福州
4995,数据助理6-9k,6千-9千,福州-仓山区,不限,大专,"['多元统计分析', '参数检验']",厦门互誉商贸有限公司,民营 ,1000-9999人 ,福建,福州
4996,数据专员,4千-7千,福州-仓山区,1-3年,大专,"['统计学', '数据分析', '销售业务数据', '医药采购']",福建康佰家医药集团有限公司,民营 ,1000-9999人 ,福建,福州
4997,数据分析类,4千-6千,福州-台江区,不限,本科,['数据分析'],中国大地财产保险股份有限公司福建分公司,国企 ,1000-9999人 ,福建,福州
4998,数据专员,5千-7千,福州-闽侯县,不限,大专,"['数据分析', '制药/医疗']",福建省闽东力捷迅药业股份有限公司福州分公司,民营 ,300-499人 ,福建,福州
4999,数据分析师,8千-1.4万,福州-仓山区,1-3年,本科,"['Python', 'SQL', '回归分析', 'Flink', '聚类分析', 'Power-BI']",福州瞭风网络科技有限责任公司,民营 ,100-299人 ,福建,福州
5000,数据精算岗,6千-8千,福州,不限,本科,"['数据分析', '大数据分析', '数据挖掘']",中国平安财产保险股份有限公司福建分公司,股份制企业 ,1000-9999人 ,福建,福州
5001,销售数据分析师,6千-1万,福州,1-3年,本科,"['数据分析', '数据挖掘']",福州联众盛贸易有限公司,民营 ,20-99人 ,福建,福州
5002,数据分析师,9千-1.4万,福州,1-3年,本科,"['SQL', '电商类产品', '数据分析', '电商', '数学/统计学专业']",宝宝巴士股份有限公司,股份制企业 ,1000-9999人 ,福建,福州
5003,数据分析师,4千-6千,福州-鼓楼区,不限,本科,"['财务分析', '数据分析', 'Python']",中道合创(福州)财务管理有限公司,民营 ,20人以下 ,福建,福州
5004,产品经理（产品经理＋数据分析）,8千-1.1万,福州-仓山区,不限,本科,"['市场调研', '产品运营', '数据分析', '产品规划']",星网锐捷,上市公司 ,1000-9999人 ,福建,福州
5005,数据统计岗（后援企划部）,5千-8千,福州-台江区,1-3年,本科,"['数据统计', '报表', 'PPT', '公文写作']",富德生命人寿保险股份有限公司福建分公司,股份制企业 ,1000-9999人 ,福建,福州
5006,大数据开发工程师,8千-1.6万,福州-鼓楼区,不限,大专,"['大数据开发', 'SQL', '数据库', '数据分析']",福建青网网络科技有限公司,民营 ,100-299人 ,福建,福州
5007,品控数据专员,5千-9千,福州,不限,本科,"['SQL', 'Python']",福州朴朴电子商务有限公司,民营 ,10000人以上 ,福建,福州
5008,数据分析师,8千-1.5万,福州-马尾区,不限,本科,"['大数据分析', '数据挖掘', 'SPSS']",福州盛博电子有限公司,民营 ,20-99人 ,福建,福州
5009,气象数据分析师,1万-1.5万,福州,不限,硕士,['气象专业'],四创科技有限公司,国企 ,500-999人 ,福建,福州
5010,数据分析师,1万-1.5万,福州,1-3年,本科,"['SQL', 'Power-BI']",福建一数科技有限公司,民营 ,20人以下 ,福建,福州
5011,数据分析师,1.5万-2.5万,福州-闽侯县,不限,本科,"['SPSS', 'SAS', 'Matlab', 'Excel', 'Stata', 'INFOSYs', 'CMMS']",锐捷网络股份有限公司,民营 ,1000-9999人 ,福建,福州
5012,运营数据分析,8千-1.3万,福州-鼓楼区,3-5年,本科,"['电商数据运营', 'Tableau', 'SQL', 'Power BI', '经营数据分析', 'FineBI']",开奈(河南)信息科技有限公司,股份制企业 ,300-499人 ,福建,福州
5013,大数据分析助理,1万-1.3万,福州-台江区,1-3年,本科,"['Python', 'R', 'Java', '回归分析']",广西玉林市湃森科技有限公司, ,,福建,福州
5014,数据部管理人员,5千-7千,福州-晋安区,不限,大专,"['Python', 'R语言', 'SPS', '商业分析', '数据挖掘', '需求分析']",福州聚贤资产管理有限公司,股份制企业 ,100-299人 ,福建,福州
5015,数据分析专员,4千-5千,福州-台江区,不限,学历不限,"['市场数据分析', '运营数据分析']",福建可观房地产经纪有限公司,民营 ,500-999人 ,福建,福州
5016,信息技术部/电子商务部数据分析报送岗,5千-1万,福州-鼓楼区,1-3年,本科,"['Linux', 'Oracle', '数据处理', '数据库管理员', '数据库']",海峡金桥财产保险股份有限公司,国企 ,500-999人 ,福建,福州
5017,数据分析师,4千-6千,福州-鼓楼区,1年以下,本科,"['Java', 'Python', 'Shell', 'SQL', 'Scala']",福建中皓通信息技术有限公司,民营 ,20-99人 ,福建,福州
5018,数据分析师,4千-8千,福州,不限,学历不限,['相关分析'],福州鼎新科技发展有限公司,民营 ,20-99人 ,福建,福州
5019,数据分析师(铁塔）,8千-1.6万,福州-仓山区,无经验,大专,['数据分析'],厦门特力通通信工程有限公司,股份制企业 ,500-999人 ,福建,福州
5020,大数据研发工程师,9千-1.5万,福州-鼓楼区,1-3年,本科,"['Hadoop', 'HDFS', 'Hbase', 'Spark', 'Python', 'Redis', 'SPRINGCLOUD', 'HIVE']",江苏通宙科技有限公司,民营 ,20-99人 ,福建,福州
5021,数据分析师,4千-6千,福州-鼓楼区,不限,本科,"['Python', 'SQL']",福建中皓通信息技术有限公司,民营 ,20-99人 ,福建,福州
5022,大数据分析师助理,5千-1万,福州,不限,大专,"['Java', 'Python', 'SQL']",福建微码信息科技有限公司,民营 ,100-299人 ,福建,福州
5023,大数据工程师,1万-1.2万,福州-闽侯县,1-3年,大专,"['Java', 'Spark', 'Flume', 'Kafka', 'Hadoop', 'Hbase', 'HIVE']",北京东土拓明科技有限公司,上市公司 ,500-999人 ,福建,福州
5024,数据分析工程师,8千-1.6万,福州-鼓楼区,3-5年,本科,"['SQL', 'Excel', '相关分析']",智盛方达信息技术(福州)有限公司,民营 ,20-99人 ,福建,福州
5025,软件数据分析师,7千-1万,福州-鼓楼区,不限,大专,"['SPSS', 'R']",深圳市铖诺贸易出口有限公司,民营 ,20人以下 ,福建,福州
5026,数据分析师,3千-6千,福州-马尾区,不限,本科,"['Python', 'SQL', 'Tableau']",福建中皓通信息技术有限公司,民营 ,20-99人 ,福建,福州
5027,数据分析主管,8千-1.5万,福州-晋安区,3-5年,本科,"['数据分析', '大数据平台']",盛辉物流,民营 ,1000-9999人 ,福建,福州
5028,数据主管,4千-6千,福州-闽侯县,1-3年,大专,['大数据分析'],福建植护网络科技有限公司,民营 ,1000-9999人 ,福建,福州
5029,电脑操作员,5千-1万,福州-仓山区,1-3年,高中,"['销售业务数据', '数据分析']",福州金叉科技有限公司,股份制企业 ,20-99人 ,福建,福州
5030,亚马逊数据分析师,6千-1万,福州-闽侯县,1-3年,本科,"['数据分析', '统计学']",福建扬腾创新信息科技有限公司,民营 ,300-499人 ,福建,福州
5031,数据分析工程师,8千-1.3万,福州-鼓楼区,1-3年,本科,"['数据分析', 'SQL', 'Python', 'SPSS', 'Tableau']",开奈(河南)信息科技有限公司,股份制企业 ,300-499人 ,福建,福州
5032,高级数据分析师,8千-1.5万,福州-鼓楼区,3-5年,本科,"['数据挖掘', '需求分析', '商业分析', 'Python', 'SQL', '数据建模', '行业分析', 'SPS']",戎易商智(北京)科技有限公司,民营 ,20-99人 ,福建,福州
5033,数据分析师,1万-1.5万,福州-马尾区,1-3年,本科,"['数据分析', 'Python', 'BI', 'SPSS', '数据建模', '数据挖掘', '数据采集']",飞毛腿集团,上市公司 ,1000-9999人 ,福建,福州
5034,数据分析师(J11066),1万-2万,福州-闽侯县,1-3年,本科,['Python'],丰疆智能科技股份有限公司,股份制企业 ,1000-9999人 ,福建,福州
5035,数据分析师,1万-1.5万,福州,3-5年,本科,['Python'],福州佳软软件技术有限公司,其它 ,500-999人 ,福建,福州
5036,数据分析师,1万-1.5万,福州-鼓楼区,不限,本科,"['BI', '报表开发', 'ETL', 'FineReport', 'Kettle', 'SQL', '数据分析', 'BI实施']",福建一数科技有限公司,民营 ,20人以下 ,福建,福州
5037,数据管理高级专员,6千-8千,福州-台江区,1-3年,大专,"['数据分析', 'SQL', 'SPSS']",华彬快速消费品投资管理有限公司,外商独资 ,1000-9999人 ,福建,福州
5038,商品专员,4千-5千,福州,不限,学历不限,"['ERP系统', '分拣', '拣选', '理货', '对账', 'office']",福州仙籁缘服饰有限公司,民营 ,100-299人 ,福建,福州
5039,大数据研发工程师,1.3万-2.2万,福州,1-3年,本科,"['数据处理', '数据仓库', '数据分析', '数据架构', '数据挖掘']",长威信息科技发展股份有限公司,民营 ,1000-9999人 ,福建,福州
5040,数据专员/上市公司/5A写字楼/五险一金,5千-6千,福州-台江区,1-3年,大专,['房地产'],福建可观房地产经纪有限公司,民营 ,500-999人 ,福建,福州
5041,大数据开发工程师,1.1万-1.5万,福州-台江区,3-5年,大专,"['Hadoop', 'Python', 'HIVE']",珠海臻冠数字科技有限公司福州分公司,民营 ,20-99人 ,福建,福州
5042,商品主管,8千-1.2万,福州-鼓楼区,3-5年,大专,"['数据分析', '商品数据', '销售业务数据']",福州着制造服饰有限公司,民营 ,20-99人 ,福建,福州
5043,大数据开发工程师,9千-1.5万,福州,1-3年,本科,"['SQL', 'Spark', 'Flink', 'Kettle', 'HIVE']",星云大数据,国企 ,100-299人 ,福建,福州
5044,数据分析师,1万-1.5万,福州-仓山区,3-5年,大专,"['数据分析', 'MySQL', 'Python', '数据清洗']",厦门互誉商贸有限公司,民营 ,1000-9999人 ,福建,福州
5045,python数据分析师,6千-9千,福州-鼓楼区,不限,大专,"['Python', 'Pandas', 'Excel']",福州优网信息技术有限公司,合资 ,100-299人 ,福建,福州
5046,集团品控数据专员,5千-9千,福州,1-3年,大专,"['Python', 'SQL', 'Excel', 'Power-BI']",福州朴朴电子商务有限公司,民营 ,10000人以上 ,福建,福州
5047,大数据开发工程师 5险1金双休,1.1万-1.5万,福州,1-3年,本科,"['数据分析', 'Linux', 'Java', '数据治理', 'Hadoop']",福州市数字产业互联科技有限责任公司,合资 ,20-99人 ,福建,福州
5048,大数据工程师（长沙）,1万-1.3万,福州-闽侯县,3-5年,大专,"['Hadoop', 'HIVE']",北京东土拓明科技有限公司,上市公司 ,500-999人 ,福建,福州
5049,数据治理开发工程师（福建大数据一级开发有限公司招聘）,1.1万-1.3万,福州-闽侯县,3-5年,本科,"['SQL', 'Kafka', 'Java', 'Python', 'Datastage']",星云大数据,国企 ,100-299人 ,福建,福州
5050,大数据研发工程师-福州,1万-2万,福州-晋安区,1-3年,本科,"['数据分析', 'Spark', 'Hadoop', 'Hive']",中电福富信息科技有限公司,国企 ,1000-9999人 ,福建,福州
5051,地理信息数据专员,4千-6千,福州-鼓楼区,不限,大专,"['GIS', '大数据采集', '数据分析']",福建冠锐网络技术有限公司,民营 ,20-99人 ,福建,福州
5052,数据分析师,1.6万-2万,福州-闽侯县,3-5年,本科,"['Python', 'Java', 'Hadoop', 'Hbase', 'Presto', 'Hive', 'SQL', 'Excel']",亚尔林(厦门)国际贸易有限公司,民营 ,100-299人 ,福建,福州
5053,数据分析师【项目经理】,8千-1.5万,福州-鼓楼区,1-3年,本科,"['SPSS', '数据分析', '项目经理', '数据分析师']",戎易商智(北京)科技有限公司,民营 ,20-99人 ,福建,福州
5054,大数据工程师（福州）,1万-1.3万,福州-闽侯县,1-3年,本科,"['Spark', 'Hadoop']",北京东土拓明科技有限公司,上市公司 ,500-999人 ,福建,福州
5055,医院数据测算工程师（弹性打卡，周末双休，六险一金）,6千-9千,福州-鼓楼区,不限,本科,['SQL'],亿能达信息,股份制企业 ,300-499人 ,福建,福州
5056,商品专员,4千-8千,福州,不限,学历不限,"['统计学', '销售业务数据', '数据分析']",福建康联商贸有限公司,民营 ,500-999人 ,福建,福州
5057,投资分析员,9千-1万,福州-台江区,1-3年,本科,"['行业分析', '基本面分析', '基金数据分析']",福建肆煌投资发展集团有限公司,民营 ,20-99人 ,福建,福州
5058,企管专员,4千-6千,福州-鼓楼区,1-3年,本科,"['IT/互联网', 'excel', 'SQL']",百纳互动网络(福建)有限公司,民营 ,300-499人 ,福建,福州
5059,数据开发,5千-9千,福州-马尾区,3-5年,本科,"['Python', 'SQL', 'Tableau']",福建中皓通信息技术有限公司,民营 ,20-99人 ,福建,福州
5060,数据分析师,9千-1.8万,福州-闽侯县,3-5年,本科,"['SPSS', 'SQL', 'Python', 'Excel']",长威信息科技发展股份有限公司,民营 ,1000-9999人 ,福建,福州
5061,商品,6千-8千,福州,不限,学历不限,"['统计学', '销售业务数据', '数据分析', '商品管理']",福建康联商贸有限公司,民营 ,500-999人 ,福建,福州
5062,运营专员（数据分析）,5千-6千,福州-仓山区,1-3年,大专,"['推广数据运营', 'excel', '运营专员', '客户服务']",福建可观房地产经纪有限公司,民营 ,500-999人 ,福建,福州
5063,助理研究员,5千-7千,福州-鼓楼区,不限,本科,"['数据统计分析', '报告撰写']",福建省华通市场研究公司,民营 ,20-99人 ,福建,福州
5064,销售助理,5千-8千,福州-仓山区,1-3年,大专,"['大客户代表', '市场管理', '团队建设']",福州翔鹰日用品有限公司,民营 ,100-299人 ,福建,福州
5065,数据挖掘工程师,1万-2万,福州,不限,本科,"['数据挖掘', '数据分析', '数据建模', '大数据平台', 'SQL', 'Python', 'Hadoop']",福建四海运达国际物流有限公司,民营 ,20-99人 ,福建,福州
5066,大数据开发工程师,1万-1.6万,福州-台江区,3-5年,本科,"['大数据开发', 'Hadoop', 'Hive', 'Hbase']",新大陆支付,上市公司 ,1000-9999人 ,福建,福州
5067,大数据开发工程师,1.1万-2万,福州-闽侯县,1-3年,本科,"['SQL', 'Kettle']",长威信息科技发展股份有限公司,民营 ,1000-9999人 ,福建,福州
5068,亚马逊运营专员,6千-1万,福州,1-3年,本科,"['亚马逊', '跨境电商运营', '电子商务', '英语', '精品运营', '美国', '店铺运营']",福州达砾森贸易有限公司,民营 ,20-99人 ,福建,福州
5069,大数据开发工程师,1万-1.5万,福州-仓山区,1-3年,本科,"['Java', 'SmartBI', 'Spark', 'Storm', 'Hadoop', 'Kettle', 'HIVE', 'Datastage']",福建锐华有限公司,其它 ,20-99人 ,福建,福州
5070,商品文员,4千-7千,福州,不限,学历不限,"['统计学', '销售业务数据', '数据分析', '商品管理']",福建康联商贸有限公司,民营 ,500-999人 ,福建,福州
5071,销售数据分析主管,6千-8千,福州-鼓楼区,3-5年,大专,"['SPSS', '生活护理', '医疗服务']",福建瑞泉护理服务有限公司,民营 ,500-999人 ,福建,福州
5072,数据开发工程师,8千-1.6万,福州-鼓楼区,3-5年,本科,"['Kettle', 'Oracle', 'Linux']",北京银丰新融科技开发有限公司,民营 ,1000-9999人 ,福建,福州
5073,Amazon亚马逊运营,5千-8千,福州,不限,本科,"['亚马逊', '跨境电商', '英语', '店铺运营', '经验不限', '电子商务', '互联网', '精品运营']",福州达砾森贸易有限公司,民营 ,20-99人 ,福建,福州
5074,大数据开发工程师,1万-1.5万,福州-仓山区,1-3年,本科,"['Hbase', 'Spark', 'MongoDB', 'SQL', 'HIVE']",福茶网科技发展有限公司,国企 ,20-99人 ,福建,福州
5075,大数据需求分析师,1万-1.5万,福州-鼓楼区,3-5年,本科,"['Hive', 'SQL', 'Shell', 'Hadoop', 'Spark', 'Wireshark', 'XSHELL']",北京众信龙达科技发展有限公司,民营 ,100-299人 ,福建,福州
5076,大数据开发工程师,9千-1.3万,福州-闽侯县,1-3年,大专,['大数据开发'],福建天创信息科技股份有限公司,民营 ,100-299人 ,福建,福州
5077,大数据分析师（福州）,7千-1.2万,福州-鼓楼区,3-5年,本科,"['数据挖掘', '需求分析', '商业分析', 'Python', 'SQL', '数据建模', '行业分析', 'SPS']",戎易商智(北京)科技有限公司,民营 ,20-99人 ,福建,福州
5078,高级BI分析师,2万-4万,福州-仓山区,3-5年,本科,"['BI', '商业分析']",亚尔林(厦门)国际贸易有限公司,民营 ,100-299人 ,福建,福州
5079,数据治理工程师,1万-1.5万,福州-仓山区,3-5年,本科,"['SQL', 'Python', '数据建模']",福茶网科技发展有限公司,国企 ,20-99人 ,福建,福州
5080,数据分析与应用工程师（企信招聘）,5千-1万,福州,1-3年,本科,['大数据算法'],星云大数据,国企 ,100-299人 ,福建,福州
5081,大数据开发工程师,1万-2万,福州-鼓楼区,1-3年,本科,"['大数据开发', '数据建模', '架构设计', '数据分析']",天目数据(福建)科技有限公司,股份制企业 ,100-299人 ,福建,福州
5082,解决方案工程师（政企数据维护）,7千-1.3万,福州-鼓楼区,3-5年,大专,['数据维护'],福建文达森信息科技有限公司,其它 ,100-299人 ,福建,福州
5083,经营策划员,7千-1万,福州-鼓楼区,1-3年,本科,['经营策划'],福建省招标采购集团有限公司,国企 ,1000-9999人 ,福建,福州
5084,质量数据专家,3万-5万,福州-闽侯县,5-10年,本科,"['数据分析', '大数据', '硬件研发']",锐捷网络股份有限公司,民营 ,1000-9999人 ,福建,福州
5085,市场计划工程师,8千-1.5万,福州-鼓楼区,3-5年,本科,"['统计学', '销售业务数据', '数据分析']",睿能科技,上市公司 ,500-999人 ,福建,福州
5086,高级BI分析师,2万-4万,福州,3-5年,本科,"['Python', 'SQL']",宝宝巴士股份有限公司,股份制企业 ,1000-9999人 ,福建,福州
5087,运营支撑,7千-1.2万,福州-鼓楼区,3-5年,大专,"['SQL', 'Tableau']",福州中联网佳信息技术有限公司,民营 ,100-299人 ,福建,福州
5088,数据治理技术专家,1.5万-3万,福州-晋安区,5-10年,本科,['资源数据平台'],北京航天通联科技有限公司,股份制企业 ,20-99人 ,福建,福州
5089,大数据项目经理（福建大数据一级开发有限公司招聘）,1.2万-1.5万,福州-闽侯县,5-10年,本科,['ETL  BI  数据仓库技术'],星云大数据,国企 ,100-299人 ,福建,福州
5090,市场发展专员,7千-1万,福州-晋安区,不限,本科,"['竞品分析', '市场研究', '市场信息收集', '全职']",福州点点医药科技有限公司,民营 ,100-299人 ,福建,福州
5091,福建数据中台运营工程师,7千-1.3万,福州-晋安区,3-5年,本科,"['Java', 'Python']",杭州勒芒科技有限公司,民营 ,20-99人 ,福建,福州
5092,商业分析主管（集团）,1.4万-2.2万,福州-台江区,5-10年,本科,['SQL'],福州朴朴电子商务有限公司,民营 ,10000人以上 ,福建,福州
5093,高级大数据开发工程师,1.5万-3万,福州,5-10年,本科,"['Spark', 'ElasticSearch', 'Impala', 'HIVE']",福州佳软软件技术有限公司,其它 ,500-999人 ,福建,福州
5094,临床数据解读专员,8千-1.6万,福州-长乐区,不限,学历不限,['遗传咨询'],北京贝瑞和康生物技术有限公司,上市公司 ,1000-9999人 ,福建,福州
5095,DPI采集测试和业务分析工程师,9千-1.2万,福州-闽侯县,3-5年,本科,"['SQL', '数据分析', 'Linux', '数据库', '信令分析', '骨干网', '核心网', 'DPI']",福州力和致远通信技术有限公司,民营 ,20-99人 ,福建,福州
5096,研策专员,4千-6千,福州-闽侯县,3-5年,本科,"['竞品分析', '市场研究', '用户调研', '市场信息收集', '全职']",福建龙旺旅游发展有限公司,民营 ,500-999人 ,福建,福州
5097,数据稽核主管（集团）,1万-1.3万,福州-台江区,3-5年,本科,"['数据分析', '数据挖掘', 'SQL', 'SPSS']",福州朴朴电子商务有限公司,民营 ,10000人以上 ,福建,福州
5098,市场发展经理,7千-1万,福州,不限,本科,"['医药行业', '市场分析', '数据收集']",福州点点医药科技有限公司,民营 ,100-299人 ,福建,福州
5099,空间数据事业部高级项目经理,1.3万-1.8万,福州-鼓楼区,5-10年,本科,['激光雷达'],福建省招标采购集团有限公司,国企 ,1000-9999人 ,福建,福州
5100,市场经理/主管,7千-1.2万,福州,5-10年,本科,"['市场研究', '企业调研', '全职', '咨询顾问']",福建福融新材料有限公司,民营 ,500-999人 ,福建,福州
5101,临床数据解读员,8千-1万,福州-长乐区,不限,硕士,"['生物技术', '生物工程', '临床数据分析']",北京贝瑞和康生物技术有限公司,上市公司 ,1000-9999人 ,福建,福州
5102,经营分析主管（集团）,6千-9千,福州-台江区,3-5年,本科,"['商业分析', '需求分析', '数据分析', 'Python', 'SQL', '商业数据分析']",福州朴朴电子商务有限公司,民营 ,10000人以上 ,福建,福州
5103,市场/投资经理,4千-8千,福州,3-5年,大专,"['数据统计分析', '投资报告']",福建省安然燃气投资有限公司,民营 ,1000-9999人 ,福建,福州
5104,高级统计师,4万-6万,福州-鼓楼区,5-10年,硕士,"['临床数据分析', 'SAS', '生物统计']",全益(上海)人力资源有限公司,民营 ,20-99人 ,福建,福州
5105,商业分析经理（集团）,1.8万-2.7万,福州-台江区,5-10年,本科,"['商业分析', 'SQL', 'R语言', 'Python']",福州朴朴电子商务有限公司,民营 ,10000人以上 ,福建,福州
5106,数据统计分析专员/双休/包住,5千-6千,苏州-昆山市,1-3年,大专,"['金融业', 'excel', 'office', '数据统计', '数据分析', '销售数据分析']",苏州大骐数据信息科技有限公司,民营 ,500-999人 ,江苏,苏州
5107,数据分析师（人事）,6千-1.2万,苏州-昆山市,1-3年,本科,"['数据分析', '行业分析', '舆情分析']",立臻科技(昆山)有限公司,上市公司 ,10000人以上 ,江苏,苏州
5108,数据分析工程师,1.5万-2.5万,苏州-吴中区,3-5年,本科,['Power-BI'],润和软件,上市公司 ,1000-9999人 ,江苏,苏州
5109,数据分析工程师（全域）,1万-2万,苏州-姑苏区,1-3年,本科,"['爬虫', 'GIS', 'Python', '空间']",苏州规划,股份制企业 ,100-299人 ,江苏,苏州
5110,数据处理,5千-8千,苏州-虎丘区,1年以下,本科,"['SQL', 'Power-BI', 'Excel']",苏州遥遥在望科技有限公司,民营 ,20-99人 ,江苏,苏州
5111,数据分析助理,7千-9千,苏州-常熟市,不限,大专,"['SAS', 'SPSS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 ,江苏,苏州
5112,数据分析师,6千-1.2万,苏州-虎丘区,不限,本科,"['数据建模', '数据分析']",万宝盛华企业管理咨询(上海)有限公司石家庄分公司,外商独资 ,10000人以上 ,江苏,苏州
5113,数据分析师,9千-1.2万,苏州-虎丘区,3-5年,大专,"['数据分析', 'SQL', 'Python', 'Django']",彩讯科技,民营 ,1000-9999人 ,江苏,苏州
5114,数据分析工程师,9千-1.2万,苏州,不限,本科,"['Python', '数据分析', '机器学习', '人工智能', '数据处理', 'SQL']",科芃智能科技(苏州)有限公司,民营 ,20人以下 ,江苏,苏州
5115,数据分析助理,5千-8千,苏州-虎丘区,不限,大专,"['Power-BI', 'Excel']",苏州遥遥在望科技有限公司,民营 ,20-99人 ,江苏,苏州
5116,数据分析师,8千-1.1万,苏州-虎丘区,1-3年,本科,['Excel'],科锐国际,合资 ,1000-9999人 ,江苏,苏州
5117,数据分析师,7千-9千,苏州-姑苏区,1-3年,本科,"['Python', 'Excel', 'Power-BI']",新瑞鹏集团,民营 ,10000人以上 ,江苏,苏州
5118,销售数据分析,8千-1万,苏州-工业园区,5-10年,本科,"['数据分析', '销售业务数据']",益而益(集团)有限公司,民营 ,1000-9999人 ,江苏,苏州
5119,数据分析工程师,8千-1.2万,苏州-吴中区,1-3年,本科,"['数据分析', 'MySQL', 'SQL', 'SPSS', 'R']",赛腾股份,上市公司 ,1000-9999人 ,江苏,苏州
5120,数据分析师,6千-1万,苏州-吴中区,3-5年,本科,"['Python', 'SQL', '数据加工', '数据获取', '数据清洗', '数据分析处理', 'Excel', '数据匹配校验']",江苏风云科技服务有限公司,国企 ,500-999人 ,江苏,苏州
5121,数据分析师,6千-1万,苏州-吴中区,1-3年,本科,"['批发/零售', '制药/医疗']",苏州全亿健康药房连锁有限公司,外商独资 ,10000人以上 ,江苏,苏州
5122,数据分析师,6千-8千,苏州-虎丘区,1-3年,本科,['SQL'],博彦科技,上市公司 ,10000人以上 ,江苏,苏州
5123,数据分析师,8千-1.2万,苏州-虎丘区,1-3年,大专,"['Python', 'SQL']",苏州遥遥在望科技有限公司,民营 ,20-99人 ,江苏,苏州
5124,数据分析师,1万-1.5万,苏州,1-3年,本科,"['Python', 'SQL', 'Java']",大健云仓科技(苏州)有限公司,外商独资 ,500-999人 ,江苏,苏州
5125,数据分析师助理（周末双休）,7千-1万,苏州-虎丘区,不限,大专,"['Java', 'Excel']",深圳市咏睿科技有限公司,民营 ,100-299人 ,江苏,苏州
5126,销售分析师,1万-1.5万,苏州-吴中区,不限,本科,"['数据分析', '销售业务数据']",中外运—敦豪国际航空快件有限公司,合资 ,1000-9999人 ,江苏,苏州
5127,数据分析助理,4千-8千,苏州-姑苏区,1-3年,大专,"['数据分析', 'SPSS', '决策树', 'Excel', '多元统计分析']",江苏众亿国链大数据科技有限公司,民营 ,20-99人 ,江苏,苏州
