,职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,省份,城市
2599,销售数据分析,5千-6千,宁波-鄞州区,不限,本科,['金融业'],招商银行股份有限公司信用卡中心,股份制企业 ,1000-9999人 ,浙江,宁波
2600,数据分析工程师,5千-1万,宁波-慈溪市,不限,本科,['Java'],合盛硅业,股份制企业 ,10000人以上 ,浙江,宁波
2601,大数据分析师,7千-1万,宁波-鄞州区,不限,大专,['SQL'],深圳市七度阳光珠宝有限公司,民营 ,20-99人 ,浙江,宁波
2602,数据分析师,8千-1万,宁波-鄞州区,不限,大专,"['SPSS', 'Excel', 'R']",深圳市米良户方科技有限公司,民营 ,20人以下 ,浙江,宁波
2603,数据分析专员,6千-8千,宁波,1-3年,本科,['回归分析'],宁波萌恒,民营 ,1000-9999人 ,浙江,宁波
2604,数据录入,6千-8千,宁波-江北区,不限,大专,"['SAS', 'SPSS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 ,浙江,宁波
2605,数据分析师（双休）,7千-8千,宁波-鄞州区,1-3年,本科,"['金融业', 'excel', '银行数据分析']",长沙惠邦网络科技有限公司,民营 ,1000-9999人 ,浙江,宁波
2606,软件数据分析师,8千-1万,宁波-鄞州区,不限,大专,"['SQL', 'R']",深圳市七度阳光珠宝有限公司,民营 ,20-99人 ,浙江,宁波
2607,电商数据分析师,6千-1.2万,宁波-鄞州区,1-3年,大专,"['Python', 'Shell', 'SQL', 'Scala', 'Java', '相关分析', '效度分析', '方差分析']",浙江牧高笛户外用品有限公司,上市公司 ,500-999人 ,浙江,宁波
2608,数据分析师,8千-1.5万,宁波,1-3年,本科,"['Python', 'Java']",一选(浙江)医疗科技有限公司,民营 ,20-99人 ,浙江,宁波
2609,业务推动岗（数据分析）,8千-1万,宁波,1-3年,本科,"['销售业务数据', '数据分析', '保险内勤', '运营专员']",平安普惠企业管理有限公司宁波分公司,合资 ,500-999人 ,浙江,宁波
2610,大数据分析师助理,5千-1万,宁波-江北区,不限,大专,"['Java', 'Python', 'Shell', 'SQL', 'Scala']",福建微码信息科技有限公司,民营 ,100-299人 ,浙江,宁波
2611,数据统计专员,6千-1万,宁波-江北区,不限,大专,['SQL'],深圳市七度阳光珠宝有限公司,民营 ,20-99人 ,浙江,宁波
