职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
Instrumentation and Control (I&C) Engineer,万宝盛华企业管理咨询（上海）有限公司成都分公司,2.5-3.5万·13薪,上海·长宁区,10年以上,本科,外资（欧美）,,中介服务,https://jobs.51job.com/shanghai/147434383.html?s=sou_sou_soulb&t=0_0&req=c8455b2bc55da308cbf6c99d60bce634,https://jobs.51job.com/all/coVDRUOARlVWIOaQVmVTM.html
滴滴司机,明信新能源（广州）有限公司,8千-1.6万,广州,1年,初中及以下,合资,500-1000人,生活服务,https://jobs.51job.com/guangzhou/145295994.html?s=sou_sou_soulb&t=0_0&req=aecbeba302cc5a1a9205304167e55869,https://jobs.51job.com/all/coBGRUMwNgUW9WMwJpUzA.html
软件设计工程师,芯恺半导体设备（徐州）有限责任公司,2.2-3.3万·14薪,上海·青浦区,2年,本科,合资,50-150人,,https://jobs.51job.com/shanghai/144883386.html?s=sou_sou_soulb&t=0_0&req=4f02d4bb71d58a53b6dc86aeb642986c,https://jobs.51job.com/all/coVjcCZV46VmgGZlcxVzc.html
Linux软件开发工程师,深圳市华宝电子科技有限公司,1.6-3万,深圳·南山区,3-4年,本科,民营,150-500人,互联网/电子商务,https://jobs.51job.com/shenzhen/70539272.html?s=sou_sou_soulb&t=0_0&req=4f02d4bb71d58a53b6dc86aeb642986c,https://jobs.51job.com/all/coAmYFZQJlADhVMQxnAG0.html
硬件开发工程师（车载产品）,富士康科技集团,1.5-3万·13薪,深圳·龙华区,3-4年,本科,外资（非欧美）,10000人以上,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/147150025.html?s=sou_sou_soulb&t=0_0&req=4f02d4bb71d58a53b6dc86aeb642986c,https://jobs.51job.com/all/coUTEFaV8_AjwObAJiVTU.html
嵌入式软件开发工程师,上海霍富汽车锁具有限公司,1.2-1.4万,上海·宝山区,3-4年,本科,外资（欧美）,150-500人,汽车,https://jobs.51job.com/shanghai/148458102.html?s=sou_sou_soulb&t=0_0&req=4f02d4bb71d58a53b6dc86aeb642986c,https://jobs.51job.com/all/coUjZWMVY1VWIOawxmBmM.html
机器视觉软件工程师,嘉兴景焱智能装备技术有限公司上海分公司,1-2万·13薪,上海·闵行区,2年,本科,外资（欧美）,500-1000人,,https://jobs.51job.com/shanghai/139486809.html?s=sou_sou_soulb&t=0_0&req=4f02d4bb71d58a53b6dc86aeb642986c,https://jobs.51job.com/all/coUTJWOlc2Bz0PaAZkUjI.html
沙井维达纸巾厂招c照配送员,深圳市领速物流供应链管理有限公司,8.5千-1.2万,深圳·宝安区,1年,,民营,,金融/投资/证券,https://jobs.51job.com/shenzhen/144725152.html?s=sou_sou_soulb&t=0_0&req=dc9590f47931ad16d04136da2fb5aeaf,https://jobs.51job.com/all/coCWhVMFEzBDoCb1ExUzA.html
（C端金融）产品经理,深圳炬亚科技有限公司,1-1.5万·13薪,深圳·福田区,3-4年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shenzhen/136808941.html?s=sou_sou_soulb&t=0_0&req=863a304e78f62aaeba5d94867f977146,https://jobs.51job.com/all/coUzNdMVI1BD9TMQZmBmA.html
嵌入式软件工程师,深圳市瀚晖威视科技有限公司,2-4万,深圳,3-4年,本科,民营,150-500人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/142855609.html?s=sou_sou_soulb&t=0_0&req=a24966a685f5ba95fb02a89c52649f44,https://jobs.51job.com/all/coBmNXMFIwUWgBZgViXT4.html
嵌入式软件开发工程师,Resideo,1.9-3.3万·15薪,上海·浦东新区,2年,本科,外资（欧美）,150-500人,,https://jobs.51job.com/shanghai/147636596.html?s=sou_sou_soulb&t=0_0&req=a24966a685f5ba95fb02a89c52649f44,https://jobs.51job.com/all/coVjVUM1A1Vm1UMFQ3VTQ.html
软件项目经理,上海鲲宜软件技术有限公司,1.5-2.5万·13薪,上海·闵行区,3-4年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/shanghai/140669746.html?s=sou_sou_soulb&t=0_0&req=a24966a685f5ba95fb02a89c52649f44,https://jobs.51job.com/all/coUzMCY1MwVWsCYFQ0AGI.html
iOS开发工程师,深圳市吉迩科技有限公司,1.6-2万·13薪,深圳·南山区,3-4年,大专,民营,1000-5000人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/147614626.html?s=sou_sou_soulb&t=0_0&req=a24966a685f5ba95fb02a89c52649f44,https://jobs.51job.com/all/coUTMBZQdjBTkDZg1qUDE.html
应用系统开发工程师,哈尔滨银行股份有限公司,1-2万,哈尔滨,2年,本科,已上市,5000-10000人,,https://jobs.51job.com/beijing/139170432.html?s=sou_sou_soulb&t=0_1&req=a24966a685f5ba95fb02a89c52649f44,https://jobs.51job.com/all/coCW1VOFc1VmwPYg1uBWA.html
招C证商务小车司机,山东齐音网络科技有限公司,8千-1.5万,深圳·盐田区,无需经验,,民营,150-500人,互联网/电子商务,https://jobs.51job.com/shenzhen/141775330.html?s=sou_sou_soulb&t=0_0&req=d9a5ffc314eb3bf4b83b30bc25034296,https://jobs.51job.com/all/coUTBdOwNlUWsFYwFgVzQ.html
C/C++开发工程师,文思海辉技术有限公司,1.7-2万,上海·闵行区,5-7年,大专,外资（欧美）,10000人以上,计算机服务(系统、数据服务、维修),https://jobs.51job.com/chengdu/143307990.html?s=sou_sou_soulb&t=0_0&req=8cbdbd339fd256cfc18fa3d43a647839,https://jobs.51job.com/all/coUjcCYFE2ATsCY1YyVjs.html
闵行区高薪急聘C照货运司机,上海胡楼物流有限公司,1.2-1.8万,上海·闵行区,无需经验,,民营,50-150人,交通/运输/物流,https://jobs.51job.com/shanghai/142585487.html?s=sou_sou_soulb&t=0_0&req=8cbdbd339fd256cfc18fa3d43a647839,https://jobs.51job.com/all/coUzJRNlAxAjsDb1c2VTI.html
