,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
288,Java开发工程师,汉堂软件工程（上海）有限公司,15000.0,广州·白云区,3-4年,本科,民营,500-1000人,计算机软件,https://jobs.51job.com/guangzhou/141811760.html?s=sou_sou_soulb&t=0_0&req=e53d341161d65d4aac0322da05135d6c,https://jobs.51job.com/all/coUzYBYABjUW4DbgxrVjs.html
289,Java开发工程师,上海赢崧企业管理咨询有限公司,17500.0,上海·静安区,3-4年,大专,外资（欧美）,500-1000人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shanghai/136482009.html?s=sou_sou_soulb&t=0_0&req=e53d341161d65d4aac0322da05135d6c,https://jobs.51job.com/all/coVDRSMQdjDjRVMAZhVjU.html
290,Java开发工程师,中讯志远（武汉）科技有限公司,12500.0,北京·朝阳区,3-4年,本科,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/beijing/134351405.html?s=sou_sou_soulb&t=0_0&req=e53d341161d65d4aac0322da05135d6c,https://jobs.51job.com/all/coVDFQMlY1AToCYwVnVDg.html
291,Java开发工程师,佳思德科技（深圳）有限公司,12500.0,深圳,3-4年,本科,外资（非欧美）,150-500人,医疗设备/器械,https://jobs.51job.com/shenzhen/145584940.html?s=sou_sou_soulb&t=0_0&req=e53d341161d65d4aac0322da05135d6c,https://jobs.51job.com/all/coCGxcP1ExADlSM1E0BmU.html
292,Java开发工程师,北京科华万象科技有限公司,12000.0,北京·海淀区,2年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/beijing/134783847.html?s=sou_sou_soulb&t=0_0&req=5eb2f585074bdeb4c5f92cdb51044386,https://jobs.51job.com/all/coBGQBYgdmBT1VMwZmAGI.html
293,Java开发 4280661,富士康科技集团,25350.0,深圳·龙华区,3-4年,本科,外资（非欧美）,10000人以上,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/141950684.html?s=sou_sou_soulb&t=0_0&req=fdf83dd4d22ac15abb828332ce3f5cca,https://jobs.51job.com/all/coUTEFaV8_AjwObAJiVTU.html
294,Java开发工程师,香远国际物流（上海）有限公司,12000.0,上海·虹口区,5-7年,大专,民营,50-150人,贸易/进出口,https://jobs.51job.com/shanghai/140838164.html?s=sou_sou_soulb&t=0_0&req=80ab3cf18ab8aa3e891a322467a7c20c,https://jobs.51job.com/all/coCGpUOAdmAD1SMVE1VzM.html
295,Java开发工程师,孚远新材料（上海）有限公司,16500.0,上海·浦东新区,3-4年,,民营,少于50人,原材料和加工,https://jobs.51job.com/shanghai/144238548.html?s=sou_sou_soulb&t=0_0&req=e494be2de4a0fd791e2a0bca103ca2a0,https://jobs.51job.com/all/coUzJdPQJlBTgBZAZjBmE.html
296,Java高级开发工程师,广州市省信软件有限公司,16000.0,广州·黄埔区,5-7年,大专,民营,50-150人,计算机软件,https://jobs.51job.com/guangzhou/136514006.html?s=sou_sou_soulb&t=0_0&req=0cf920944cc8982e3b473981bfc83d14,https://jobs.51job.com/all/coBWVRPVY2ADwDYAVhBmA.html
297,Java开发工程师（直招）,“前程无忧”51job.com（上海）,9200.0,上海·浦东新区,2年,本科,外资（非欧美）,1000-5000人,专业服务(咨询、人力资源、财会),https://51rz.51job.com/job.html?jobid=144869088,https://51rz.51job.com/job.html?jobid=71752221&coid=1249
298,java开发（大厂+银行项目）,神州数码信息服务股份有限公司,10200.0,上海,5-7年,本科,已上市,10000人以上,计算机软件,https://jobs.51job.com/shanghai/147948175.html?s=sou_sou_soulb&t=0_0&req=c77a2612d953205784c7bd898d55034f,https://jobs.51job.com/all/coVDBSMFQ_BDkBZlE0UD0.html
299,Java初级开发工程师,上海知力信息科技有限公司,7500.0,上海·浦东新区,2年,大专,民营,少于50人,互联网/电子商务,https://jobs.51job.com/shanghai/126047288.html?s=sou_sou_soulb&t=0_0&req=7dcd6e1a4776731d73c7658919d8cdcc,https://jobs.51job.com/all/coB2NSMwNoDjMCYgxtBWk.html
300,Java,合肥聚鼎信息咨询有限公司,8750.0,上海·黄浦区,2年,本科,民营,500-1000人,多元化业务集团公司,https://jobs.51job.com/shanghai/148419026.html?s=sou_sou_soulb&t=0_0&req=e1a647c9bef345f116a462e2e3ce7f64,https://jobs.51job.com/all/coAmFWNF89ADZVNVQ0XD0.html
301,Java开发工程师-230066,上海中智人才顾问咨询有限公司,17500.0,上海·长宁区,3-4年,本科,国企,少于50人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shanghai/146008229.html?s=sou_sou_soulb&t=0_0&req=03ad68717ce8c6a4bc35f72cd49cbda9,https://jobs.51job.com/all/coUzBWNQNkDzZVOQJoAWU.html
302,java开发中高级工程师,驰曼（上海）信息科技有限公司,9250.0,上海·徐汇区,3-4年,本科,民营,少于50人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shanghai/148408511.html?s=sou_sou_soulb&t=0_0&req=c8ace8b18fb853d15d2cc23bc21dc822,https://jobs.51job.com/all/coVDdcP1IwBjlRN1YyVTM.html
303,Java高级开发工程师,上海互联网软件集团有限公司,11250.0,上海·浦东新区,5-7年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/146855979.html?s=sou_sou_soulb&t=0_0&req=368572fb7423b6365101b43c78e19c36,https://jobs.51job.com/all/coAWEAbAVuDjYBZAdhXDk.html
304,Java大数据开发工程师,慧博云通科技股份有限公司,3250.0,上海,3-4年,本科,已上市,5000-10000人,计算机软件,https://jobs.51job.com/shanghai/148322648.html?s=sou_sou_soulb&t=0_0&req=e5c85b67d04da00012c999f70bd21687,https://jobs.51job.com/all/coVDdSNlE7DjdTPgNjUzM.html
