,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
576,C端渠道经理,大庄园集团,11250.0,上海·闵行区,5-7年,本科,民营,1000-5000人,原材料和加工,https://jobs.51job.com/shanghai/137408513.html?s=sou_sou_soulb&t=0_0&req=21e302dffbd27a3beedec3c4aaa0e9b9,https://jobs.51job.com/all/coAWNTPlI3U2oFaQdgBWg.html
577,软件工程师,深圳市天睿实验室装备有限公司,11500.0,深圳·光明区,1年,大专,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/143671140.html?s=sou_sou_soulb&t=0_0&req=05c6e5d65381714754d6ca1d4d2a0d8d,https://jobs.51job.com/all/coVjcAZ1cyVWtUMQRlVDg.html
578,软件项目经理,上海鲲宜软件技术有限公司,8750.0,上海·闵行区,3-4年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/shanghai/140669746.html?s=sou_sou_soulb&t=0_0&req=315c458a8649d77ab50cdcd521832ff8,https://jobs.51job.com/all/coUzMCY1MwVWsCYFQ0AGI.html
579,商品规划主管,85度c,8650.0,上海·徐汇区,3-4年,本科,外资（非欧美）,10000人以上,餐饮业,https://jobs.51job.com/shanghai/146950962.html?s=sou_sou_soulb&t=0_0&req=b5c5b5e02b4673ab3cac72ee7d78cb8b,https://jobs.51job.com/all/coBmJQNVEzBToPagBhVjA.html
580,会计,深圳市恒天伟业科技有限公司,8250.0,深圳·宝安区,3-4年,中技/中专,民营,150-500人,贸易/进出口,https://jobs.51job.com/shenzhen/113227936.html?s=sou_sou_soulb&t=0_0&req=c200f30223c11b5b817c60bb29f94f1f,https://jobs.51job.com/all/coUjYCZQdlADwEZlE6AGI.html
581,Type C连接器研发工程师,深圳市佳浩盛电子有限公司,9000.0,深圳·福田区,5-7年,大专,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/127831789.html?s=sou_sou_soulb&t=0_0&req=6d4893b8114bc8fffaba7d9f4d55f3d1,https://jobs.51job.com/all/coA2BcPgdtAz0GYgxrBmc.html
582,C/C++开发工程师,惠州市金隆源科技有限公司,15000.0,惠州·大亚湾区,2年,大专,民营,50-150人,仪器仪表/工业自动化,https://jobs.51job.com/shenzhen/141577589.html?s=sou_sou_soulb&t=0_1&req=2a6aa00f56f527d2f4b14bf782dcc07c,https://jobs.51job.com/all/coCGhVOAdnDjVRMg1mVDc.html
583,C++ 开发人员（中高级）,四川九强通信科技有限公司,12500.0,成都·武侯区,5-7年,大专,国企,150-500人,通信/电信/网络设备,https://jobs.51job.com/chengdu/115161379.html?s=sou_sou_soulb&t=0_0&req=6edb4866b41667c46a4c80a748b23a1f,https://jobs.51job.com/all/coUjFSMgBkVGkPYgdjUzc.html
584,医药业/C端电商运营/朝九晚六,广东亮健好药房连锁有限公司,6000.0,广州·越秀区,2年,大专,民营,500-1000人,批发/零售,https://jobs.51job.com/guangzhou/148420010.html?s=sou_sou_soulb&t=0_0&req=37385b8797fb18b99ee25cf60d868a9b,https://jobs.51job.com/all/coUjFdP1IwBDJUM1A0AmQ.html
585,PCB电镀/防焊制程工程师(包食宿),联能科技（深圳）有限公司,8750.0,深圳·宝安区,3-4年,本科,外资（非欧美）,1000-5000人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/148319947.html?s=sou_sou_soulb&t=0_0&req=84567c76839df5ca30804766dc95bba9,https://jobs.51job.com/all/coBGMHYgRiBTNRNVA2VDQ.html
