序号,职位,公司名称,公司地点,公司性质,薪资,学历要求,工作经验,公司规模,公司福利,发布时间
395,Java工程师（高级）,深圳市比希科技有限公司,深圳-福田区,民营公司,1.5-2万/月,大专,5-7年经验,50-150人,,11月21日
396,软件工程师（java方向）,苏州卓曜智能科技有限公司,昆山,民营公司,0.8-1.6万/月,本科,2年经验,少于50人,五险一金 弹性工作 年终奖金 绩效奖金 补充公积金,11月21日
397,JAVA 软件开发工程师,上海宝信软件股份有限公司海盐分公司,上海-宝山区,上市公司,8-15万/年,本科,1年经验,50-150人,五险一金 餐饮补贴 高温补贴 年终奖金 定期体检,11月21日
398,Java开发工程师（中级）,广州摩赛网络技术有限公司,广州-天河区,民营公司,0.8-1.5万/月,大专,3-4年经验,少于50人,五险一金 年终奖金 弹性工作 定期体检 员工旅游 带薪年假 节日福利 餐饮补贴 零食下午茶,11月21日
399,Java开发工程师,衡哲信息科技（武汉）有限公司,武汉-洪山区,民营公司,0.9-1.5万/月,大专,3-4年经验,1000-5000人,五险一金 员工旅游 餐饮补贴 专业培训 绩效奖金 年终奖金,11月21日
400,Java开发工程师,广东养方堂中医科技有限公司,广州-天河区,民营公司,0.8-1.2万/月,本科,2年经验,少于50人,五险一金 绩效奖金 专业培训 交通方便 员工旅游,11月21日
401,Java,重庆软维科技有限公司,成都-武侯区,民营公司,1-1.5万/月,大专,3-4年经验,150-500人,五险一金 年终奖金 定期体检,11月21日
402,Java开发经理,浙江杉工智能科技有限公司,宁波-海曙区,民营公司,1.5-2万/月,本科,10年以上经验,50-150人,五险一金 年终奖金 交通补贴 餐饮补贴 周末双休,11月21日
403,Java开发工程师,深圳市梦网物联科技发展有限公司,深圳,民营公司,1-1.5万/月,大专,2年经验,,,11月21日
404,java开发助理,常州潼马软件科技有限公司,深圳-宝安区,民营公司,5.5-8.5千/月,大专,无需经验,少于50人,五险一金 免费班车 员工旅游 出国机会 年终奖金 绩效奖金 股票期权 定期体检 周末双休 包吃包住,11月21日
405,Java开发工程师,天津鑫海宇宏科技发展有限公司,天津-河西区,民营公司,0.5-1万/月,本科,1年经验,少于50人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金,11月21日
406,Java高级开发工程师,鸿宇数据科技（上海）有限公司,上海-徐汇区,民营公司,1.8-2.5万/月,本科,5-7年经验,少于50人,,11月21日
407,急聘Java后端开发工程师+双休,四川三维系统工程有限责任公司,成都-青羊区,民营公司,0.7-1.5万/月,大专,2年经验,少于50人,五险一金 周末双休,11月21日
408,JAVA高级软件开发工程师,苏州嘉展科技有限公司,苏州-工业园区,外资（非欧美）,1.5-2.5万/月,大专,5-7年经验,50-150人,做五休二 周末双休 带薪年假 五险一金 节日福利 专业培训 通讯补贴 交通补贴 年终奖金,11月21日
409,Java开发工程师,广州康铭信息科技有限公司,广州-海珠区,民营公司,1-1.5万/月,本科,3-4年经验,少于50人,五险一金 员工旅游 年终奖金 股票期权,11月21日
410,Java高级开发工程师,天津中桓荣泰科技发展有限公司,天津-南开区,民营公司,1-1.5万/月,大专,2年经验,50-150人,五险一金 员工旅游 年终奖金 定期体检 通讯补贴 餐饮补贴,11月21日
411,初级Java开发工程师,上海朝讯网络科技发展有限公司,北京-朝阳区,民营公司,0.8-1万/月,本科,1年经验,50-150人,员工旅游 定期体检 五险一金 做五休二 节日福利 生日福利 带薪年假 绩效奖金 专业培训 弹性工作,11月21日
412,Java开发工程师,四特酒有限责任公司,江西省,合资,1-1.5万/月,本科,3-4年经验,1000-5000人,节日福利 带薪年假 高温补贴 专业培训 年终奖金,11月21日
413,Java开发工程师,昱瑾网络科技（上海）有限公司,上海-浦东新区,民营公司,1.5-3万/月,大专,5-7年经验,50-150人,带薪年假 五险一金 绩效奖金 全勤奖 节日福利 专业培训,11月21日
414,Java开发工程师,大连华夏腾飞科技有限公司,大连,民营公司,5-9.9千/月,大专,2年经验,50-150人,五险一金 补充医疗保险 补充公积金 免费班车 员工旅游 交通补贴 出国机会 绩效奖金 年终奖金,11月21日
415,Java高级开发工程师,上海宝钿科技产业发展有限公司,上海-宝山区,民营公司,2-2.5万/月,大专,5-7年经验,少于50人,五险一金 带薪年假 做五休二 年终奖金,11月21日
416,后端开发工程师（Java或.net）,纳思达科技（大连）有限公司,大连,外资（非欧美）,1.5-2万/月,本科,3-4年经验,,,11月21日
417,Java开发工程师,大连金慧融智科技股份有限公司,大连,民营公司,1-1.5万/月,本科,3-4年经验,,,11月21日
418,高级java开发工程师,东软集团（大连）有限公司,大连,上市公司,0.8-1万/月,本科,2年经验,,,11月21日
419,Java开发工程师,武汉高达软件系统有限公司,武汉-武昌区,民营公司,0.8-1.3万/月,大专,2年经验,50-150人,五险一金 专业培训 通讯补贴 餐饮补贴 交通补贴 节日福利 定期体检 员工旅游 年终奖金 高温补贴,11月21日
420,Java开发经理 (MJ000025),广州中大凯旋电子科技有限公司,广州,民营公司,2-3.5万/月,大专,5-7年经验,150-500人,腾讯投资 年终奖金 绩效奖金 加班津贴 交通补贴 餐饮补贴 五险一金 股票期权,11月21日
421,Java开发工程师,江苏耐维思通科技股份有限公司,北京-海淀区,上市公司,0.8-1.6万/月,大专,2年经验,50-150人,五险一金 餐饮补贴 弹性工作 补充医疗保险 年终奖金,11月21日
422,Java工程师,青岛海洋慧谷大数据科技有限公司,青岛-李沧区,民营公司,6-8千/月,本科,无需经验,少于50人,国际大牛带队,11月21日
423,Java高级开发工程师,北京澎湃信用管理有限公司,北京-朝阳区,民营公司,1.5-3万/月,硕士,3-4年经验,少于50人,五险一金 餐饮补贴 员工旅游 绩效奖金 定期体检 专业培训 带薪年假,11月21日
424,Java开发工程师(13薪+年终奖）,深圳市融臻科技管理有限公司,深圳-福田区,民营公司,0.6-1万/月,本科,1年经验,500-1000人,,11月21日
425,Java工程师-济南,湖南联信科技有限公司,济南-高新区,民营公司,0.7-1.5万/月,本科,2年经验,150-500人,绩效奖金 五险一金 餐饮补贴 年终奖金 定期体检 专业培训,11月21日
426,java高级开发工程师（高薪诚聘）,深圳市世纪伟图科技开发有限公司,深圳-福田区,民营公司,1.5-2.6万/月,本科,5-7年经验,150-500人,专业培训 绩效奖金 员工旅游 五险一金 带薪年假 加班调休 节假福利 周末双休 法定节假日休,11月21日
427,Java开发工程师,广州劲源科技发展股份有限公司,广州,民营公司,4-8千/月,大专,无需经验,,,11月21日
428,Java开发工程师,南京思优普信息科技有限公司,南京-江宁区,民营公司,1.2-1.8万/月,大专,3-4年经验,150-500人,五险一金 定期体检 餐饮补贴 交通补贴 绩效奖金 免费班车 周末双休,11月21日
429,Java高级开发工程师,枫华国际教育集团,上海-长宁区,合资,1.5-2.5万/月,本科,5-7年经验,500-1000人,五险一金 绩效奖金 周末双休 餐饮补贴,11月21日
430,Java开发工程师,江苏索迩软件技术有限公司,南京-雨花台区,民营公司,1-1.5万/月,大专,1年经验,,五险一金 通讯补贴 餐饮补贴 年终奖金 定期体检 员工旅游,11月21日
431,软件工程师-JAVA,上海波汇科技有限公司,上海,民营公司,1.8-2.5万/月,本科,3-4年经验,,,11月21日
432,Java开发工程师,苏州弘瀚自动化科技有限公司,苏州-高新区,民营公司,1.3-2万/月,大专,2年经验,50-150人,餐饮补贴 员工旅游 年终奖金 周末双休 五险一金,11月21日
