职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
Junior Call Center Tester-4861,瞬联软件科技（北京）有限公司 CIeNET Technologies,1.3-1.8万,北京·朝阳区,3-4年,本科,外资（欧美）,1000-5000人,,https://jobs.51job.com/beijing/147662932.html?s=sou_sou_soulb&t=0_0&req=38546ffae916c19dc5bf942d36a54f5d,https://jobs.51job.com/all/coA2RdOFIwDjEEYwBl.html
OTC医药销售经理（北京、天津）,鸿济元（宁波）医药管理有限公司,6-8千,北京·朝阳区,5-7年,大专,民营,150-500人,制药/生物工程,https://jobs.51job.com/beijing/148509686.html?s=sou_sou_soulb&t=0_0&req=2a5892111a49faee34b83a5e668ed21c,https://jobs.51job.com/all/coCGkGYVQwADkEaQNoAG0.html
电话客服专员,北京佳美展览有限公司,5-6千,北京·朝阳区,1年,大专,民营,50-150人,公关/市场推广/会展,https://jobs.51job.com/beijing/148053726.html?s=sou_sou_soulb&t=0_0&req=275cdcb598de3d103325fdf7006cf4b1,https://jobs.51job.com/all/coBWdSNQdgBjtVOA1uAGI.html
医疗器械销售(北京）,深圳市双佳医疗科技有限公司,8千-1.5万,北京,2年,大专,民营,150-500人,计算机硬件,https://jobs.51job.com/beijing/147279263.html?s=sou_sou_soulb&t=0_0&req=49361a7e91647152cfddeff84d1d9636,https://jobs.51job.com/all/coBWdQNQJpVGIFaARvAGY.html
质量经理,普迈德（北京）科技有限公司,1.2-1.8万,北京·昌平区,3-4年,本科,民营,150-500人,制药/生物工程,https://jobs.51job.com/beijing/143968497.html?s=sou_sou_soulb&t=0_0&req=9efcea48443861a5e7f3731ddd6d3078,https://jobs.51job.com/all/coB2JTMlM1VmsObFQwAWc.html
KOSE美容顾问（北京千姿）,高丝化妆品销售（中国）有限公司,6-8千·13薪,北京,1年,中技/中专,外资（非欧美）,500-1000人,,https://jobs.51job.com/beijing/146111274.html?s=sou_sou_soulb&t=0_0&req=17d9a344479404aa41597187824e4d14,https://jobs.51job.com/all/coVTJXMARnBDhWOwZnAGQ.html
安装调试工程师,北京诚益通控制工程科技股份有限公司,9千-1.2万,北京·大兴区,1年,本科,已上市,1000-5000人,仪器仪表/工业自动化,https://jobs.51job.com/beijing/148497585.html?s=sou_sou_soulb&t=0_0&req=981a192f996537de361db56e945a911c,https://jobs.51job.com/all/coAGBdPAJkDjQEZVEzAGU.html
北京销售主管（不出差）,北京市智恒工贸有限责任公司,7-8千·14薪,北京·朝阳区,3-4年,中技/中专,民营,50-150人,建筑/建材/工程,https://jobs.51job.com/beijing/146068193.html?s=sou_sou_soulb&t=0_0&req=4b386ae24e4744474aaff2c72108e99b,https://jobs.51job.com/all/coVjNTP1A6DjUHZAJpVTU.html
B超医师,北京德胜门中医院,7-8千,北京·西城区,2年,大专,民营,150-500人,医疗/护理/卫生,https://jobs.51job.com/beijing/146091477.html?s=sou_sou_soulb&t=0_0&req=bd47216f80a5bcf9bee2662d88fb8407,https://jobs.51job.com/all/coAmYHZgNlAD9SMQFjVDY.html
大客户经理（北京）,深圳市晋百慧生物有限公司,1-2万,北京,3-4年,本科,民营,50-150人,,https://jobs.51job.com/beijing/148356193.html?s=sou_sou_soulb&t=0_0&req=ce1f8992881555f9a99c0f479ce06972,https://jobs.51job.com/all/coVTBWNlMwVG0BYg1rUD0.html
预防保健护士,北京先宝妇产医院有限公司,4-6千,北京·通州区,2年,大专,民营,50-150人,医疗/护理/卫生,https://jobs.51job.com/beijing/146080066.html?s=sou_sou_soulb&t=0_0&req=4748f71e3827255d46731663ae604b0a,https://jobs.51job.com/all/coVDVRM1U2DzUPYwxpUz8.html
大客户销售经理(J10100),北京医百科技有限公司,1-1.5万,北京·朝阳区,3-4年,大专,创业公司,150-500人,互联网/电子商务,https://jobs.51job.com/beijing/147546255.html?s=sou_sou_soulb&t=0_0&req=566f42e95716b24f6fa088d32ee2ad41,https://jobs.51job.com/all/coUzFRM1I4ADgEYAxqAmI.html
机械结构设计开发工程师,北京盎然科技发展有限公司,6千-1万,北京·东城区,2年,本科,民营,少于50人,,https://jobs.51job.com/beijing/145890937.html?s=sou_sou_soulb&t=0_0&req=566f42e95716b24f6fa088d32ee2ad41,https://jobs.51job.com/all/coBmZQM1Y0DzABYwRkBmE.html
销售经理岗(J39129),北京京东方能源科技有限公司,1.5-2万·15薪,北京,5-7年,本科,国企,50-150人,电气/电力/水利,https://jobs.51job.com/beijing/148556970.html?s=sou_sou_soulb&t=0_0&req=c6b0af062068564271b63bfb3c6b9279,https://jobs.51job.com/all/coAWUAZ1I4U2RRNgRnXDE.html
环保管理专员,北京中都星徽物流有限公司,5-7千·14薪,北京·大兴区,1年,本科,国企,1000-5000人,汽车,https://jobs.51job.com/beijing/141512272.html?s=sou_sou_soulb&t=0_0&req=2fde84607f5705ff07908efc98cdffd4,https://jobs.51job.com/all/coAGVcPANmDzMFaQJoBmA.html
租船经理 chartering manager,北京汇天贸易有限公司,4.5-5.5万,北京·朝阳区,3-4年,本科,民营,少于50人,贸易/进出口,https://jobs.51job.com/beijing/144046918.html?s=sou_sou_soulb&t=0_0&req=476a310f18999e42a7d8bbfdf0bc27e7,https://jobs.51job.com/all/coUzBUMwBjDjhVMgNmVDg.html
全北京诚招小车司机待遇优,北京不负芳华科技有限公司,9千-1.5万,北京·顺义区,无需经验,,民营,,交通/运输/物流,https://jobs.51job.com/beijing/146311938.html?s=sou_sou_soulb&t=0_0&req=0ad3c202bd02357417f5cba52f1b3438,https://jobs.51job.com/all/coB2ZQMFAzBT1SMVY8AWM.html
北京 光学销售及服务工程师,香港电子器材有限公司上海代表处,7千-1.2万,北京·海淀区,2年,本科,外企代表处,50-150人,贸易/进出口,https://jobs.51job.com/beijing/133270015.html?s=sou_sou_soulb&t=0_0&req=0ad3c202bd02357417f5cba52f1b3438,https://jobs.51job.com/all/coA2cBbFAwBj0PaQBmAmQ.html
医药代表（北京门头沟区等级）,雷允上药业集团有限公司,8千-1.2万,北京,1年,大专,民营,1000-5000人,制药/生物工程,https://jobs.51job.com/beijing/118715289.html?s=sou_sou_soulb&t=0_0&req=0ad3c202bd02357417f5cba52f1b3438,https://jobs.51job.com/all/coAGNRMAVgDzMBZgBmVTk.html
注册专员,北京贝科达医疗器械有限公司,7千-1万,北京,2年,本科,民营,50-150人,医疗设备/器械,https://jobs.51job.com/beijing/133563916.html?s=sou_sou_soulb&t=0_0&req=5343e145c770e2af662dbc6b37b13a38,https://jobs.51job.com/all/coUjFdOlU-VW0PbgFlVjQ.html
科尔康-销售经理（北京）,英国豪迈国际有限公司上海代表处,1-2万·13薪,北京,3-4年,本科,外企代表处,5000-10000人,仪器仪表/工业自动化,https://jobs.51job.com/beijing/148533635.html?s=sou_sou_soulb&t=0_0&req=dc1c0dfa67813f7b47b31cff2e78b9c9,https://jobs.51job.com/all/coBGcGYAdkVm0BZAFmVDY.html
市场经理（北京医检销售）(J10746),广东凯普生物科技股份有限公司,8千-1.5万,北京,5-7年,大专,已上市,1000-5000人,制药/生物工程,https://jobs.51job.com/beijing/145470646.html?s=sou_sou_soulb&t=0_0&req=dc1c0dfa67813f7b47b31cff2e78b9c9,https://jobs.51job.com/all/coB2NQNFEzDzgAYwVmBmc.html
医药代表（医院事业部-北京石景山基层）,雷允上药业集团有限公司,8千-1.2万,北京·石景山区,1年,大专,民营,1000-5000人,制药/生物工程,https://jobs.51job.com/beijing/148497090.html?s=sou_sou_soulb&t=0_0&req=2a5892111a49faee34b83a5e668ed21c,https://jobs.51job.com/all/coAGNRMAVgDzMBZgBmVTk.html
机票出票员,北京乐途国际旅行社有限公司,5-7千,北京·朝阳区,2年,大专,民营,,酒店/旅游,https://jobs.51job.com/beijing/147650066.html?s=sou_sou_soulb&t=0_0&req=329dfb7a348090ae30f1729812927583,https://jobs.51job.com/all/coAWBSNAdmADwDblA2AGA.html
