,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
817,高级后端开发工程师-抖音支付,字节跳动,3750.0,北京,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/137545762.html?s=sou_sou_soulb&t=0_0&req=67b9a0995cee88198b40ba87aed83c67,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
818,实施工程师,上海共志通信信息技术发展有限公司,14000.0,上海·宝山区,2年,本科,国企,1000-5000人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shanghai/142281309.html?s=sou_sou_soulb&t=0_0&req=67b9a0995cee88198b40ba87aed83c67,https://jobs.51job.com/all/coBmRVOVA2BDkAYwNlVjA.html
819,公司服务部-Product Marketing高级经理-上海/北京,PwC 普华永道,5500.0,上海,10年以上,本科,外资（欧美）,1000-5000人,会计/审计,https://jobs.51job.com/shanghai/145324197.html?s=sou_sou_soulb&t=0_0&req=52224e999cf3ca8496c9482cc16cff90,https://jobs.51job.com/all/coCW1cPlU_DzJUM1Yy.html
820,资深后端开发工程师-LBA People Talent,字节跳动,10500.0,成都,5-7年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/chengdu/147163268.html?s=sou_sou_soulb&t=0_0&req=a79f527bc599788a4b3d64da752932ec,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
821,资深后端开发工程师-LBA People Talent,字节跳动,10500.0,成都,5-7年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/chengdu/147164396.html?s=sou_sou_soulb&t=0_0&req=a79f527bc599788a4b3d64da752932ec,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
822,Sales Engineer,科德宝宝翎无纺布（苏州）有限公司-工业无纺布,12500.0,上海·徐汇区,2年,本科,外资（欧美）,50-150人,汽车,http://freudenberg.51job.com/sc/show_job_detail.html?jobid=146140492,http://freudenberg.51job.com/
823,系统运维经理(J10032),三星财产保险（中国）有限公司,11750.0,上海·闵行区,3-4年,本科,外资（非欧美）,150-500人,,https://jobs.51job.com/shanghai/144444693.html?s=sou_sou_soulb&t=0_0&req=df2244d260d8f8ad6275f0a977e02b1c,https://jobs.51job.com/all/coBGNdPlEzATcHYQdlXDk.html
824,高级测试工程师（云PKI方向）,格尔软件股份有限公司,11500.0,上海·静安区,5-7年,本科,已上市,500-1000人,互联网/电子商务,https://jobs.51job.com/shanghai/140955486.html?s=sou_sou_soulb&t=0_0&req=09360134dec3576b0c30ec38a7fe7dfc,https://jobs.51job.com/all/coCG9QNgdtATcFYFcx.html
825,Area Salse Manager (South China),博斯特（上海）有限公司,11500.0,上海·松江区,5-7年,本科,外资（欧美）,150-500人,印刷/包装/造纸,https://jobs.51job.com/guangzhou/147141946.html?s=sou_sou_soulb&t=0_0&req=5966e1db6b4ad8635ef1a3db2d312a6f,https://jobs.51job.com/all/coBGMGYFM1ATwAYAxm.html
826,测试开发工程师 — 广告电商平台,字节跳动,4500.0,上海,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shanghai/136260790.html?s=sou_sou_soulb&t=0_0&req=e5f11c804a79ccf09ea3659214fc556e,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
827,交付开发工程师-服务端-火山引擎,字节跳动,12000.0,上海,2年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shanghai/139911118.html?s=sou_sou_soulb&t=0_0&req=0c5bf2d45caf164e592ed64747b4f089,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
828,MCU Technical Marketing,STMicroelectronics Ltd Shenzhen STS Mmxlab Audio,2750.0,上海·闵行区,5-7年,本科,合资,少于50人,,https://jobs.51job.com/shanghai/147272519.html?s=sou_sou_soulb&t=0_0&req=ac03b0dfaf8a135c57f23b8e9b6ef68f,https://jobs.51job.com/all/coVDAAZlY3DzVVOVA6.html
829,IT Supervisor/Assistant Manager,盟可睐（上海）商贸有限公司,3000.0,上海·静安区,8-9年,本科,外资（欧美）,150-500人,服装/纺织/皮革,https://jobs.51job.com/shanghai/147143508.html?s=sou_sou_soulb&t=0_0&req=e160826d3a8ec52a7c0be905e2c0ef23,https://jobs.51job.com/all/coVDAGalIxVmBWO1E0UTI.html
830,系统运维工程师,金碧物业有限公司,8750.0,广州·天河区,3-4年,本科,已上市,10000人以上,房地产,https://jobs.51job.com/guangzhou/142821244.html?s=sou_sou_soulb&t=0_0&req=5cbd948ef6a49a51aa3f7523b959705a,https://jobs.51job.com/all/coB2BQPV46VmsGZAxn.html
831,边缘接入（高级）研发工程师,字节跳动,3750.0,上海,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shanghai/133393654.html?s=sou_sou_soulb&t=0_0&req=7bd1867cbea2e780dc6e0240154a0588,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
832,软件项目经理,红惠医药有限公司,12500.0,北京·丰台区,3-4年,大专,民营,150-500人,,https://jobs.51job.com/beijing/147283970.html?s=sou_sou_soulb&t=0_0&req=67b9a0995cee88198b40ba87aed83c67,https://jobs.51job.com/all/coAmdXMgJhDzgCZwVj.html
833,大数据研发工程师,字节跳动,12000.0,深圳,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shenzhen/131619866.html?s=sou_sou_soulb&t=0_0&req=322bc510ddeb2e49d1531895504a6a7b,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
