,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
4159,销售总监（To C）,杭州双纯环境技术有限公司,5000.0,杭州·滨江区,8-9年,大专,民营,50-150人,多元化业务集团公司,https://jobs.51job.com/hangzhou/142780419.html?s=sou_sou_soulb&t=0_0&req=10a7c44dbbf0753775e48e248ac45cca,https://jobs.51job.com/all/coBWBVOARnBDwAYgJoBWQ.html
4160,C/C++开发工程师,武汉虹信技术服务有限责任公司,8750.0,武汉·江夏区,3-4年,本科,国企,1000-5000人,计算机软件,https://jobs.51job.com/wuhan/148411355.html?s=sou_sou_soulb&t=0_0&req=fd8865bce544e17a508c7f8f7983651e,https://jobs.51job.com/all/coBWAHYQRiBzoBbVY1Uz8.html
4161,Linux 应用开发工程师（C/C++ 方向）,皇虎测试科技（深圳）有限公司,7200.0,深圳·南山区,5-7年,本科,外资（非欧美）,50-150人,计算机软件,https://jobs.51job.com/shenzhen/146675475.html?s=sou_sou_soulb&t=0_0&req=ea79767b270fed1dc1ac914200b84dd4,https://jobs.51job.com/all/coBmZWOlAzDjQAYFQ_XT0.html
4162,QT C/C++ 开发工程师,青岛峻海物联科技有限公司,8750.0,青岛·市南区,3-4年,本科,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/qingdao/145647000.html?s=sou_sou_soulb&t=0_0&req=ab94ce8ccbbdbd7cc9261ea5a6cfd22c,https://jobs.51job.com/all/coBWZUN1Y9BT0EZA1rAWM.html
4163,C/C++软件工程师,深圳市世椿智能装备股份有限公司,8750.0,深圳·宝安区,1年,本科,民营,500-1000人,仪器仪表/工业自动化,https://jobs.51job.com/dongguan/148349985.html?s=sou_sou_soulb&t=0_0&req=fc0ef3ff2777933d55a8f2df5af8e191,https://jobs.51job.com/all/coBGZSNV44DzMDYQFiUj4.html
4164,CCD机器视觉检测调试员,陕西波特兰电子科技有限责任公司,6500.0,西安·浐灞生态区,2年,大专,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/xian/142752011.html?s=sou_sou_soulb&t=0_0&req=5613872f01fc8bc61b8f686a78b3a0d6,https://jobs.51job.com/all/coAGQFaVQ_BDMEZg1qAG0.html
4165,运营经理（C端用户运营）,广东星鼎通信科技有限公司,8500.0,广州·天河区,2年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/guangzhou/148324752.html?s=sou_sou_soulb&t=0_0&req=b458c42d351428052b8d7e2d71fd4616,https://jobs.51job.com/all/coUTEHYFA2AT9TPlc2AGQ.html
4166,C汉阳急招贷后专员+季度晋升+月入10K+,律正投资管理（上海）有限公司武汉分公司,15000.0,武汉·汉阳区,1年,大专,民营,,计算机软件,https://jobs.51job.com/wuhan/144634369.html?s=sou_sou_soulb&t=0_0&req=b3f5235a54c6d6199085ce2c7aa2862e,https://jobs.51job.com/all/coCWhUMVI2DzdSM1c1AG0.html
4167,C汉阳急招贷后专员+季度晋升+月入10K+,律正投资管理（上海）有限公司武汉分公司,15000.0,武汉·汉阳区,1年,大专,民营,,计算机软件,https://jobs.51job.com/wuhan/144634369.html?s=sou_sou_soulb&t=0_0&req=4bb7a32edcd162cc6aab8528dbc712df,https://jobs.51job.com/all/coCWhUMVI2DzdSM1c1AG0.html
4168,C照面包车货运司机,重庆八匹马科技发展有限公司,6500.0,重庆·渝北区,1年,初中及以下,民营,50-150人,快速消费品(食品、饮料、化妆品),https://jobs.51job.com/chongqing/140457139.html?s=sou_sou_soulb&t=0_0&req=f5d080578fd0ce8544855057df72e7a6,https://jobs.51job.com/all/coAWAHYQBiBD1VOVQ_BmI.html
4169,面包车厢货车招司机C照就可,苏州运多多汽车服务有限公司,10000.0,苏州·相城区,无需经验,,民营,少于50人,,https://jobs.51job.com/suzhou/143693176.html?s=sou_sou_soulb&t=0_0&req=649694c0a674fdec3642d1bfc98d0296,https://jobs.51job.com/all/coUTBcOgNmBDJRNVYzUTU.html
4170,货运司机+C证+多劳多得,弘道（苏州）物流有限公司,10000.0,苏州·吴中区,无需经验,,民营,50-150人,汽车,https://jobs.51job.com/suzhou/145612645.html?s=sou_sou_soulb&t=0_0&req=e9e604d05b7e24e04f6302dba9168393,https://jobs.51job.com/all/coCGhQMQBrAD5WNARkVTU.html
4171,招客运商务C证司机免费住宿,苏州微微行汽车服务有限公司,12500.0,上海·闵行区,1年,初中及以下,外资（欧美）,50-150人,计算机软件,https://jobs.51job.com/shanghai/140446612.html?s=sou_sou_soulb&t=0_0&req=fb984df6852c93b65db8416dfc483940,https://jobs.51job.com/all/coBGUBZ1EzDjdTMwZhAGA.html
4172,C/C++研发工程师（嵌入式方向）,南京磐能电力科技股份有限公司,8750.0,南京,2年,本科,民营,150-500人,电子技术/半导体/集成电路,https://jobs.51job.com/nanjing/131673968.html?s=sou_sou_soulb&t=0_0&req=13c5231c1f5b8093692ad024b8827db1,https://jobs.51job.com/all/coBmJTNAdsUWsDZQVnUjI.html
4173,直招c牌司机送果蔬小家电,聘聘车拼拼货（广州）供应链有限公司,10000.0,广州·黄埔区,1年,初中及以下,民营,少于50人,交通/运输/物流,https://jobs.51job.com/foshan/147918068.html?s=sou_sou_soulb&t=0_0&req=7498bab1763afb5907a88dc80bb27927,https://jobs.51job.com/all/coAmNTMwJoVWgPbwxvVjs.html
4174,高薪招聘C照司机，急需5名,苏州远途货运代理有限公司,15000.0,苏州,无需经验,,外资（欧美）,,计算机软件,https://jobs.51job.com/suzhou/147842308.html?s=sou_sou_soulb&t=0_0&req=eca40c5f78867b7e11e065de9e95e58f,https://jobs.51job.com/all/coUTBcPwdjBzpUNAxpUzU.html
4175,c货运司机（新能源）短途城配,上海雷夏物流运输有限公司,12500.0,上海·青浦区,无需经验,,民营,少于50人,交通/运输/物流,https://jobs.51job.com/shanghai/148439719.html?s=sou_sou_soulb&t=0_0&req=a044e2a49cf09d5b74e81a4fedc7df49,https://jobs.51job.com/all/coCWgAZ1U2VmAObANgBWA.html
4176,货运司机+C证+多劳多得,弘道（苏州）物流有限公司,10000.0,苏州·吴中区,无需经验,,民营,50-150人,汽车,https://jobs.51job.com/suzhou/145612645.html?s=sou_sou_soulb&t=0_0&req=6b8fe469f8cad556b8e864e8435fa314,https://jobs.51job.com/all/coCGhQMQBrAD5WNARkVTU.html
4177,8500直招C证司机,摩顶新能源发展（云南）集团有限公司,10750.0,昆明·西山区,无需经验,,民营,50-150人,汽车,https://jobs.51job.com/kunming/145834430.html?s=sou_sou_soulb&t=0_0&req=e99c3d3de355626d8caebf99fd1f9b8e,https://jobs.51job.com/all/coBWUBYVI3U2oHYAFhBmc.html
4178,货运司机+C证+多劳多得,弘道（苏州）物流有限公司,10000.0,苏州·吴中区,无需经验,,民营,50-150人,汽车,https://jobs.51job.com/suzhou/145612645.html?s=sou_sou_soulb&t=0_0&req=12def6f3466226e201aa5ead958cf3fb,https://jobs.51job.com/all/coCGhQMQBrAD5WNARkVTU.html
4179,嵌入式 Linux C/C++工程师 -设备软件方向,深圳市芯睿视科技有限公司武汉分公司,15000.0,武汉·东湖新技术产业开发区,2年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/wuhan/131421463.html?s=sou_sou_soulb&t=0_0&req=25e779be045a7fd08409e063ec52da6b,https://jobs.51job.com/all/coVDRQNwRiVGwPYwRiUDM.html
4180,CCD机器视觉检测调试员,陕西波特兰电子科技有限责任公司,6500.0,西安·浐灞生态区,2年,大专,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/xian/142752011.html?s=sou_sou_soulb&t=0_0&req=4697b3885987f9501f731f8be1d69f33,https://jobs.51job.com/all/coAGQFaVQ_BDMEZg1qAG0.html
