职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
RPA/Python开发工程师,普华永道商务服务（成都）有限公司,8千-1.2万·13薪,成都·高新区,1年,本科,外资（非欧美）,1000-5000人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/chengdu/139611561.html?s=sou_sou_soulb&t=0_0&req=b61431ec9d94e219d3de208eac3099d4,https://jobs.51job.com/all/coVTBWMQRgVmBVNQdmUjE.html
Python物联网安全研发工程师,中国科学院信息工程研究所,8千-1万,北京·海淀区,无需经验,本科,事业单位,1000-5000人,政府/公共事业,https://jobs.51job.com/beijing/144425177.html?s=sou_sou_soulb&t=0_0&req=b61431ec9d94e219d3de208eac3099d4,https://jobs.51job.com/all/coUzFXM1YyVWhVMQZlXTw.html
Python后端开发工程师,上海悦米信息技术有限公司,1.8-2.8万,上海,3-4年,本科,合资,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/143515860.html?s=sou_sou_soulb&t=0_0&req=b61431ec9d94e219d3de208eac3099d4,https://jobs.51job.com/all/coA2ZXOgRiBjkGZwRiBmc.html
Python工程师,上海至盛信息技术股份有限公司,1.5-2万,上海·松江区,3-4年,本科,民营,50-150人,互联网/电子商务,https://jobs.51job.com/shanghai/130701640.html?s=sou_sou_soulb&t=0_0&req=71d70ef085c5cc7317598ce4ea00c582,https://jobs.51job.com/all/coVTBWOlA2DzcFYQBnXDs.html
Python/Odoo开发工程师,广州瀚翼扬电子商务有限公司,1.2-2.2万,广州·海珠区,2年,本科,民营,150-500人,互联网/电子商务,https://jobs.51job.com/guangzhou/147792378.html?s=sou_sou_soulb&t=0_0&req=36dbf2c57e3f5ba80c1b11ddc8289738,https://jobs.51job.com/all/coAmdXNVQ-BjFVNQFiAmc.html
Python工程师,广州市埃特斯通讯设备有限公司,1.3-1.8万,广州·黄埔区,1年,硕士,民营,150-500人,通信/电信/网络设备,https://jobs.51job.com/zhongshan/140599747.html?s=sou_sou_soulb&t=0_0&req=74a3a61619b071eb8ee98168d039294d,https://jobs.51job.com/all/coA2dQM1EzAzUAZ1MwB2E.html
编程讲师（c++/python）,广州图灵教育科技有限公司,1.2-2万,广州·天河区,1年,本科,民营,50-150人,教育/培训/院校,https://jobs.51job.com/guangzhou/143391119.html?s=sou_sou_soulb&t=0_0&req=c054b467203e31fee361482b128649fe,https://jobs.51job.com/all/coCWoFZVM1BTlVNlc2Uj4.html
Python开发工程师,中讯志远（武汉）科技有限公司,1-1.5万,深圳·福田区,2年,本科,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/134883489.html?s=sou_sou_soulb&t=0_0&req=36dbf2c57e3f5ba80c1b11ddc8289738,https://jobs.51job.com/all/coVDFQMlY1AToCYwVnVDg.html
Python开发工程师,上海财联社金融科技有限公司,1.2-2.4万,上海,2年,本科,国企,150-500人,影视/媒体/艺术/文化传播,https://jobs.51job.com/shanghai/128295741.html?s=sou_sou_soulb&t=0_0&req=4af593485d10d607367a5b54ff610f0e,https://jobs.51job.com/all/coB2JRNgBqBzlUNlc8AGU.html
Python数据处理工程师,广州杰纳医药科技发展有限公司,8千-1.6万,广州·黄埔区,1年,本科,民营,150-500人,,https://jobs.51job.com/guangzhou/146440424.html?s=sou_sou_soulb&t=0_0&req=66c556dbbec8464e7b76bd2b358239a2,https://jobs.51job.com/all/coCGtVM1cxUm8OYlY0BWE.html
高级python后端开发工程师,达而观信息科技（上海）有限公司,1.8-3.6万,深圳·南山区,5-7年,本科,民营,500-1000人,计算机软件,https://jobs.51job.com/shenzhen/106402524.html?s=sou_sou_soulb&t=0_0&req=b61431ec9d94e219d3de208eac3099d4,https://jobs.51job.com/all/coBGZWMwBgVGlVNw1sAWU.html
Python,北京能科瑞元数字技术有限公司,1.2-1.7万,上海·黄浦区,5-7年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/147179361.html?s=sou_sou_soulb&t=0_0&req=ba3aff786b79278cdc88982cf8cf55c9,https://jobs.51job.com/all/coVjVQNFY2VGwAYFczBWc.html
Python开发工程师,深圳市瑞信信息技术有限公司,8千-1万,深圳·南山区,2年,大专,民营,少于50人,计算机软件,https://jobs.51job.com/shenzhen/144648602.html?s=sou_sou_soulb&t=0_0&req=74a3a61619b071eb8ee98168d039294d,https://jobs.51job.com/all/coBmNcPV45DjdWMAdkVTE.html
Python开发工程师,上海念空数据科技中心（有限合伙）,1-2万·15薪,上海,2年,本科,民营,少于50人,金融/投资/证券,https://jobs.51job.com/shanghai/136919202.html?s=sou_sou_soulb&t=0_0&req=c054b467203e31fee361482b128649fe,https://jobs.51job.com/all/coVDFXNFIxBj0HZgRmBmA.html
