,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
573,运维工程师,上海博为峰信息技术有限公司,12500.0,上海,3-4年,本科,民营,1000-5000人,计算机软件,https://jobs.51job.com/shanghai/134374555.html?s=sou_sou_soulb&t=0_0&req=d727a597a859bf27a6fc755a07ab5508,https://jobs.51job.com/all/coVjNWMQNgBjtUMgFlXD0.html
574,高级全栈开发工程师（互联网/自研),大连隆基信息技术有限公司,3000.0,上海·静安区,5-7年,大专,外资（非欧美）,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/144838590.html?s=sou_sou_soulb&t=0_0&req=f5decf4297e82d2321a63ac91818c98c,https://jobs.51job.com/all/coAmBdOFQ2BD1WMVM5B2Q.html
575,中级Golang开发工程师MZ,京北方信息技术股份有限公司广州分公司,15000.0,广州·天河区,1年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shenzhen/144066691.html?s=sou_sou_soulb&t=0_0&req=9b1329b169e4a708da16f0283d9d94fb,https://jobs.51job.com/all/coAmZXNFc9BzoAbFQzUTU.html
576,23JD040-设备管理岗(QC),北京祥瑞生物制品股份有限公司,9000.0,北京·怀柔区,1年,本科,民营,150-500人,制药/生物工程,https://jobs.51job.com/beijing/146011419.html?s=sou_sou_soulb&t=0_0&req=5ec35d2381735b7bdc74ab401ce5638b,https://jobs.51job.com/all/coVjUCYgBgUWoCZAdhVTc.html
577,高级安全测试工程师,广州纳诺科技股份有限公司,15500.0,广州·黄埔区,5-7年,本科,民营,150-500人,互联网/电子商务,https://jobs.51job.com/guangzhou/142626079.html?s=sou_sou_soulb&t=0_0&req=432c64ca2e231374a7ad0e383e4d72d1,https://jobs.51job.com/all/coAmcCb1I2Vm8FYVE0VTU.html
578,PHP开发工程师,广东星鼎通信科技有限公司,12000.0,广州·天河区,2年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/guangzhou/141913891.html?s=sou_sou_soulb&t=0_0&req=20e7ca454f3e30c31ed4c36590b89bf4,https://jobs.51job.com/all/coUTEHYFA2AT9TPlc2AGQ.html
579,前端开发工程师(009260),中信银行信用卡中心,11750.0,深圳·福田区,3-4年,本科,国企,500-1000人,互联网/电子商务,https://jobs.51job.com/shenzhen/145212445.html?s=sou_sou_soulb&t=0_0&req=1006545ed1b7f68d75caa7cee4a82e2b,https://jobs.51job.com/all/coA2BQMlYzATkFaQZt.html
580,Penetration Testing Engineer渗透测试工程师,DEKRA Group(Mainland China)德凯中国,15000.0,上海,3-4年,本科,外资（欧美）,1000-5000人,,https://jobs.51job.com/shanghai/140256103.html?s=sou_sou_soulb&t=0_0&req=832cd5df882430878b46c4064bf74556,https://jobs.51job.com/all/coA2dXMARkBz5SMQVgVjo.html
581,PHP开发工程师,广东白鹭天湖电子商务有限公司,9000.0,广州·黄埔区,3-4年,本科,民营,50-150人,,https://jobs.51job.com/guangzhou/146783181.html?s=sou_sou_soulb&t=0_0&req=428cb94db9c85d43ba7baeb63c6c9238,https://jobs.51job.com/all/coUzBQN1IxBThRPQJjVDg.html
582,PHP开发工程师,上海德客易采信息科技有限公司,12500.0,上海·嘉定区,2年,大专,创业公司,少于50人,计算机软件,https://jobs.51job.com/shanghai/143345361.html?s=sou_sou_soulb&t=0_0&req=428cb94db9c85d43ba7baeb63c6c9238,https://jobs.51job.com/all/coCWpVOQdtDzMDYgZtBWk.html
583,全栈PHP后端工程师,广东合生信息科技有限公司,15000.0,广州,3-4年,本科,民营,1000-5000人,计算机软件,https://jobs.51job.com/guangzhou/142774055.html?s=sou_sou_soulb&t=0_0&req=428cb94db9c85d43ba7baeb63c6c9238,https://jobs.51job.com/all/coAmIGawRgBzADZANiB2c.html
584,软件开发工程师（PHP）,飞域（广州）国际贸易有限公司,12500.0,广州·天河区,2年,本科,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/chengdu/147083072.html?s=sou_sou_soulb&t=0_0&req=6bd684a02409c2f0f6cba4180dd91d7b,https://jobs.51job.com/all/coUTFUNF81UmwPb1EzUTc.html
585,电商平台技术经理,江苏康为世纪生物科技股份有限公司,8750.0,北京·昌平区,3-4年,本科,已上市,500-1000人,医疗设备/器械,https://jobs.51job.com/beijing/148131655.html?s=sou_sou_soulb&t=0_0&req=4e0a91d74c732261ab4f746766a84a0f,https://jobs.51job.com/all/coVjVTNVQ0DzkPbQRnXD4.html
586,中级.NET开发工程师,广州紫麦科技有限公司,16000.0,广州·黄埔区,3-4年,本科,民营,150-500人,互联网/电子商务,https://jobs.51job.com/guangzhou/146331129.html?s=sou_sou_soulb&t=0_0&req=7929f09882e236829b42a842f7516da3,https://jobs.51job.com/all/coAWRVMAJoVWlSPlY2AGE.html
587,PHP开发工程师,深圳市汉锐信息技术股份有限公司,7500.0,深圳·龙岗区,1年,本科,民营,,计算机软件,https://jobs.51job.com/shenzhen/143626332.html?s=sou_sou_soulb&t=0_0&req=77718aed59c77ff1eb2cf8d592ba9c23,https://jobs.51job.com/all/coVDVQMARhUWhRM1QyUD0.html
588,23届校招：汽车电子工程师（软件或硬件）,华域皮尔博格泵技术有限公司,15000.0,上海·宝山区,无需经验,本科,合资,150-500人,汽车,https://jobs.51job.com/shanghai/141744571.html?s=sou_sou_soulb&t=0_0&req=e35cf983eac11ac7e2a858e7018b6dbe,https://jobs.51job.com/all/coUzZXMQRnBjlWOlM4XTA.html
589,PHP开发工程师,深圳市巨果科技有限公司,11000.0,深圳·宝安区,3-4年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/shenzhen/135338928.html?s=sou_sou_soulb&t=0_0&req=883cee77bb1090ee1167e1a1b6d256e9,https://jobs.51job.com/all/coVTUCYQRhVmgCYQdhVDE.html
590,后端工程师,广东星鼎通信科技有限公司,14000.0,广州·天河区,5-7年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/guangzhou/147659490.html?s=sou_sou_soulb&t=0_0&req=edece2dc5107a0968e5e9f0b011435a5,https://jobs.51job.com/all/coUTEHYFA2AT9TPlc2AGQ.html
591,Magento 2 开发工程师,探谋网络科技（上海）有限公司,10500.0,上海·普陀区,3-4年,本科,外资（欧美）,少于50人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/140203030.html?s=sou_sou_soulb&t=0_0&req=e8a24455925c286313d8c92db0dca322,https://jobs.51job.com/all/coBGABYFA1BzEBYwRmVTg.html
592,PHP开发工程师,北京灵通浪潮科技有限公司,17500.0,北京·海淀区,3-4年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/beijing/145577739.html?s=sou_sou_soulb&t=0_0&req=419a4ed6edc4daab0ef9ec366a5fc114,https://jobs.51job.com/all/coBGZcPFY3UmQBYwNmXTE.html
593,APP开发和研发创业人员,深圳市很低批网络科技有限公司,5000.0,深圳·龙华区,5-7年,本科,合资,150-500人,医疗/护理/卫生,https://jobs.51job.com/shenzhen/148401598.html?s=sou_sou_soulb&t=0_0&req=b52108d8750d1cf3bbff00dc9ccf3f0d,https://jobs.51job.com/all/coVTUCbgNoAzhRMQ1oUjU.html
594,英语技术支持工程师,上海微创软件股份有限公司,12500.0,上海·闵行区,无需经验,本科,合资,10000人以上,外包服务,https://jobs.51job.com/shanghai/147660806.html?s=sou_sou_soulb&t=0_0&req=3d75c31999e51a9c72a87b4999bf4ef3,https://jobs.51job.com/all/coVTFRNF49DzUGagZt.html
595,高级系统专家 — 运维,字节跳动,12000.0,北京,2年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/139105270.html?s=sou_sou_soulb&t=0_0&req=675945d4d8bdf5a4e3accf248bfecc3a,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
596,测试工程师,上海翼得营销策划有限公司,9000.0,上海·普陀区,1年,大专,合资,150-500人,互联网/电子商务,https://jobs.51job.com/shanghai/121887069.html?s=sou_sou_soulb&t=0_0&req=ece592aae3223d2694b44514ee295475,https://jobs.51job.com/all/coCW0AYVYzBjoCZ1E1AGM.html
